date,ridership Lakeshore West ALDERSHOT GO PM Peak,total_train_trips Lakeshore West ALDERSHOT GO PM Peak
2020-01-17,1936,6
2020-01-20,1112,6
2020-01-21,1114,4
2020-01-22,1559,6
2020-01-23,1288,6
2020-01-24,1536,6
2020-01-27,1082,6
2020-01-28,1469,6
2020-01-29,1170,6
2020-01-30,1200,5
2020-01-31,1556,6
2020-02-03,1520,6
2020-02-04,1118,6
2020-02-05,1227,5
2020-02-06,1265,6
2020-02-07,1807,6
2020-02-10,1278,6
2020-02-11,1471,5
2020-02-12,1131,6
2020-02-13,1632,6
2020-02-14,1778,6
2020-02-18,1277,6
2020-02-19,1238,6
2020-02-20,1720,6
2020-02-21,2012,6
2020-02-24,1072,6
2020-02-25,1315,6
2020-02-26,1067,6
2020-02-27,799,5
2020-02-28,1585,6
2020-03-02,897,4
2020-03-03,1404,6
2020-03-04,1383,6
2020-03-05,1182,6
2020-03-06,1436,6
2020-03-09,947,5
2020-03-10,1473,6
2020-03-11,1013,6
2020-03-12,955,6
2020-03-13,834,6
2020-03-16,295,6
2020-03-17,201,6
2020-03-18,225,6
2020-03-19,212,6
2020-03-20,189,6
2020-03-23,111,6
2020-03-24,100,6
2020-03-25,91,6
2020-03-26,82,6
2020-03-27,99,6
2020-03-30,73,6
2020-03-31,83,6
2020-04-01,73,6
2020-04-02,87,6
2020-04-03,78,6
2020-04-06,73,5
2020-04-07,64,6
2020-04-08,59,3
2020-04-09,60,3
2020-04-13,59,3
2020-04-14,62,3
2020-04-15,58,3
2020-04-16,56,3
2020-04-17,69,3
2020-04-20,53,3
2020-04-21,58,3
2020-04-22,62,3
2020-04-24,64,3
2020-04-27,65,3
2020-04-28,59,3
2020-04-29,53,3
2020-04-30,51,3
2020-05-01,71,3
2020-05-04,70,3
2020-05-05,64,3
2020-05-06,62,3
2020-05-07,71,3
2020-05-08,63,3
2020-05-11,69,3
2020-05-12,69,3
2020-05-13,74,3
2020-05-14,68,3
2020-05-15,77,3
2020-05-19,84,3
2020-05-20,87,3
2020-05-21,89,3
2020-05-22,110,3
2020-05-25,104,3
2020-05-26,101,3
2020-05-27,98,3
2020-05-28,87,3
2020-05-29,110,3
2020-06-01,118,3
2020-06-02,105,3
2020-06-03,102,3
2020-06-04,108,3
2020-06-05,133,3
2020-06-08,135,3
2020-06-09,140,3
2020-06-10,124,3
2020-06-11,133,3
2020-06-12,176,3
2020-06-15,143,3
2020-06-16,161,3
2020-06-17,146,3
2020-06-18,141,3
2020-06-19,194,3
2020-06-22,163,3
2020-06-23,152,3
2020-06-24,203,3
2020-06-25,186,3
2020-06-26,255,3
2020-06-29,202,3
2020-06-30,215,3
2020-07-02,215,3
2020-07-03,272,3
2020-07-06,205,3
2020-07-07,211,3
2020-07-08,217,3
2020-07-09,227,3
2020-07-10,289,3
2020-07-13,207,3
2020-07-14,230,3
2020-07-15,249,3
2020-07-16,200,3
2020-07-17,312,3
2020-07-20,241,3
2020-07-21,248,3
2020-07-22,220,3
2020-07-23,239,3
2020-07-24,349,3
2020-07-27,248,3
2020-07-28,256,3
2020-07-29,280,3
2020-07-30,326,3
2020-07-31,417,3
2020-08-04,250,3
2020-08-05,344,3
2020-08-06,295,3
2020-08-07,402,3
2020-08-10,298,3
2020-08-11,294,3
2020-08-12,326,3
2020-08-13,387,3
2020-08-14,430,3
2020-08-17,297,3
2020-08-18,333,3
2020-08-19,320,3
2020-08-20,388,3
2020-08-21,454,3
2020-08-24,346,3
2020-08-25,334,3
2020-08-26,361,3
2020-08-27,387,3
2020-08-28,467,3
2020-08-31,356,3
2020-09-01,386,3
2020-09-02,364,3
2020-09-03,417,3
2020-09-04,522,3
2020-09-08,367,6
2020-09-09,367,6
2020-09-10,459,6
2020-09-11,515,6
2020-09-14,378,6
2020-09-15,367,6
2020-09-16,371,6
2020-09-17,392,6
2020-09-18,511,6
2020-09-21,334,6
2020-09-22,342,6
2020-09-23,350,6
2020-09-24,363,6
2020-09-25,500,6
2020-09-28,324,6
2020-09-29,317,6
2020-09-30,296,6
2020-10-01,316,6
2020-10-02,456,6
2020-10-05,292,6
2020-10-06,293,6
2020-10-07,291,6
2020-10-08,349,6
2020-10-09,419,6
2020-10-13,337,6
2020-10-14,326,6
2020-10-15,289,6
2020-10-16,363,6
2020-10-19,291,6
2020-10-20,277,6
2020-10-21,283,6
2020-10-22,314,6
2020-10-23,422,6
2020-10-26,293,6
2020-10-27,283,6
2020-10-28,330,6
2020-10-29,330,6
2020-10-30,414,6
2020-11-02,296,6
2020-11-03,306,6
2020-11-04,309,6
2020-11-05,312,6
2020-11-06,454,6
2020-11-09,334,6
2020-11-10,345,6
2020-11-11,371,6
2020-11-12,321,6
2020-11-13,407,6
2020-11-16,309,6
2020-11-17,301,6
2020-11-18,249,6
2020-11-19,313,6
2020-11-20,388,6
2020-11-23,244,6
2020-11-24,231,6
2020-11-25,246,6
2020-11-26,254,6
2020-11-27,307,6
2020-11-30,241,6
2020-12-01,262,6
2020-12-02,247,6
2020-12-03,261,6
2020-12-04,328,6
2020-12-07,239,6
2020-12-08,259,6
2020-12-09,236,6
2020-12-10,257,6
2020-12-11,344,6
2020-12-14,245,6
2020-12-15,250,6
2020-12-16,253,6
2020-12-17,248,6
2020-12-18,334,6
2020-12-21,251,6
2020-12-22,242,6
2020-12-23,296,6
2020-12-24,252,6
2020-12-28,123,3
2020-12-29,185,6
2020-12-30,174,6
2020-12-31,221,6
2021-01-04,208,6
2021-01-05,207,6
2021-01-06,217,6
2021-01-07,222,6
2021-01-08,265,6
2021-01-11,211,6
2021-01-12,194,6
2021-01-13,226,6
2021-01-14,175,6
2021-01-15,192,6
2021-01-18,167,6
2021-01-19,162,6
2021-01-20,164,6
2021-01-21,171,6
2021-01-22,216,6
2021-01-25,163,6
2021-01-26,159,6
2021-01-27,180,6
2021-01-28,163,6
2021-01-29,213,6
2021-02-01,169,6
2021-02-02,183,6
2021-02-03,183,6
2021-02-04,176,6
2021-02-05,210,6
2021-02-08,192,6
2021-02-09,203,6
2021-02-10,196,6
2021-02-11,203,6
2021-02-12,245,6
2021-02-16,185,6
2021-02-17,220,6
2021-02-18,218,6
2021-02-19,259,6
2021-02-22,207,6
2021-02-23,220,6
2021-02-24,224,6
2021-02-25,238,6
2021-02-26,309,6
2021-03-01,211,6
2021-03-02,220,6
2021-03-03,226,6
2021-03-04,249,6
2021-03-05,320,6
2021-03-08,249,6
2021-03-09,258,6
2021-03-10,289,6
2021-03-11,240,6
2021-03-12,347,6
2021-03-15,228,6
2021-03-16,229,5
2021-03-17,257,6
2021-03-18,244,6
2021-03-19,342,6
2021-03-22,273,6
2021-03-23,241,6
2021-03-24,244,6
2021-03-25,286,6
2021-03-26,330,6
2021-03-29,263,6
2021-03-30,291,6
2021-03-31,268,6
2021-04-01,296,6
2021-04-05,274,6
2021-04-06,219,6
2021-04-07,239,6
2021-04-08,227,6
2021-04-09,256,6
2021-04-12,206,6
2021-04-13,195,6
2021-04-14,205,6
2021-04-15,243,6
2021-04-16,253,6
2021-04-19,191,6
2021-04-20,202,6
2021-04-21,183,6
2021-04-22,180,6
2021-04-23,240,6
2021-04-26,198,6
2021-04-27,209,6
2021-04-28,206,6
2021-04-29,188,6
2021-04-30,272,6
2021-05-03,190,6
2021-05-04,178,6
2021-05-05,192,6
2021-05-06,215,6
2021-05-07,248,6
2021-05-10,213,6
2021-05-11,197,6
2021-05-12,208,6
2021-05-13,210,6
2021-05-14,319,6
2021-05-17,233,6
2021-05-18,224,6
2021-05-19,256,6
2021-05-20,239,6
2021-05-21,338,6
2021-05-25,241,6
2021-05-26,231,6
2021-05-27,268,6
2021-05-28,266,6
2021-05-31,249,6
2021-06-01,266,6
2021-06-02,261,6
2021-06-03,229,6
2021-06-04,368,6
2021-06-07,280,6
2021-06-08,234,6
2021-06-09,269,6
2021-06-10,297,6
2021-06-11,446,6
2021-06-14,277,6
2021-06-15,302,6
2021-06-16,323,6
2021-06-17,403,6
2021-06-18,410,6
2021-06-21,320,6
2021-06-22,326,6
2021-06-23,374,6
2021-06-24,398,6
2021-06-25,510,6
2021-06-28,334,6
2021-06-29,335,6
2021-06-30,493,6
2021-07-02,416,6
2021-07-05,388,6
2021-07-06,397,6
2021-07-07,349,6
2021-07-08,332,6
2021-07-09,549,6
2021-07-12,427,6
2021-07-13,400,6
2021-07-14,454,6
2021-07-15,466,6
2021-07-16,605,6
2021-07-19,461,6
2021-07-20,458,6
2021-07-21,598,6
2021-07-22,528,6
2021-07-23,679,6
2021-07-26,470,6
2021-07-27,438,6
2021-07-28,571,6
2021-07-29,480,6
2021-07-30,1044,6
2021-08-03,738,6
2021-08-04,790,6
2021-08-05,848,6
2021-08-06,1031,6
2021-08-09,217,3
2021-08-10,257,3
2021-08-11,217,3
2021-08-12,246,3
2021-08-13,345,3
2021-08-16,227,3
2021-08-17,209,3
2021-08-18,266,3
2021-08-19,257,3
2021-08-20,482,3
2021-08-23,283,3
2021-08-24,317,3
2021-08-25,357,3
2021-08-26,304,3
2021-08-27,377,3
2021-08-30,349,3
2021-08-31,349,3
2021-09-01,335,3
2021-09-02,350,2
2021-09-03,417,3
2021-09-07,227,3
2021-09-08,274,3
2021-09-09,211,3
2021-09-10,360,3
2021-09-13,262,3
2021-09-14,264,3
2021-09-15,272,3
2021-09-16,238,3
2021-09-17,405,3
2021-09-20,248,3
2021-09-21,226,3
2021-09-22,213,3
2021-09-23,241,3
2021-09-24,405,3
2021-09-27,239,3
2021-09-28,346,3
2021-09-29,357,3
2021-09-30,421,3
2021-10-01,495,3
2021-10-04,212,3
2021-10-05,264,3
2021-10-06,252,3
2021-10-07,265,3
2021-10-08,354,3
2021-10-12,260,3
2021-10-13,436,3
2021-10-15,340,3
2021-10-18,293,3
2021-10-19,209,3
2021-10-20,264,3
2021-10-21,244,3
2021-10-22,614,3
2021-10-25,220,3
2021-10-26,203,3
2021-10-27,286,3
2021-10-28,241,3
2021-10-29,382,3
2021-11-01,217,3
2021-11-02,310,3
2021-11-03,242,3
2021-11-04,331,3
2021-11-05,359,3
2021-11-08,292,3
2021-11-09,194,3
2021-11-10,274,3
2021-11-11,269,3
2021-11-12,480,3
2021-11-15,264,3
2021-11-16,336,3
2021-11-17,248,3
2021-11-18,344,3
2021-11-19,345,3
2021-11-22,246,3
2021-11-23,183,3
2021-11-24,239,3
2021-11-25,324,3
2021-11-26,441,3
2021-11-29,297,3
2021-11-30,373,3
2021-12-01,473,3
2021-12-02,442,3
2021-12-03,478,3
2021-12-06,213,3
2021-12-07,346,3
2021-12-08,305,3
2021-12-09,404,3
2021-12-10,427,3
2021-12-13,273,3
2021-12-14,260,3
2021-12-15,259,3
2021-12-16,293,3
2021-12-17,317,3
2021-12-20,226,3
2021-12-21,219,3
2021-12-22,252,3
2021-12-23,228,3
2021-12-24,162,3
2021-12-29,187,3
2021-12-30,159,3
2021-12-31,195,3
2022-01-04,143,3
2022-01-05,134,3
2022-01-06,115,3
2022-01-07,144,3
2022-01-10,116,3
2022-01-11,89,3
2022-01-12,111,3
2022-01-13,104,3
2022-01-14,149,3
2022-01-17,33,3
2022-01-18,115,3
2022-01-19,147,3
2022-01-20,158,3
2022-01-21,220,3
2022-01-24,159,3
2022-01-25,164,3
2022-01-26,147,3
2022-01-27,189,3
2022-01-28,240,3
2022-01-31,189,3
2022-02-01,202,3
2022-02-02,185,3
2022-02-03,178,3
2022-02-04,293,3
2022-02-07,249,3
2022-02-08,223,3
2022-02-09,225,3
2022-02-10,237,3
2022-02-11,314,3
2022-02-14,235,3
2022-02-15,222,3
2022-02-16,237,3
2022-02-17,279,3
2022-02-18,330,3
2022-02-22,279,3
2022-02-23,259,3
2022-02-24,369,3
2022-02-25,384,3
2022-02-28,279,3
2022-03-01,322,3
2022-03-02,363,3
2022-03-03,361,3
2022-03-04,460,3
2022-03-07,282,3
2022-03-08,396,3
2022-03-09,349,3
2022-03-10,422,3
2022-03-11,599,3
2022-03-14,333,3
2022-03-15,455,3
2022-03-16,433,3
2022-03-17,622,3
2022-03-18,615,3
2022-03-21,333,3
2022-03-22,345,3
2022-03-23,464,3
2022-03-24,440,3
2022-03-25,556,3
2022-03-28,328,3
2022-03-29,307,3
2022-03-30,386,3
2022-03-31,516,3
2022-04-01,446,3
2022-04-04,320,3
2022-04-05,362,3
2022-04-06,447,3
2022-04-07,430,3
2022-04-08,996,3
2022-04-11,295,3
2022-04-12,513,3
2022-04-13,344,3
2022-04-14,557,3
2022-04-18,366,3
2022-04-19,467,3
2022-04-20,425,3
2022-04-21,370,3
2022-04-22,513,3
2022-04-25,421,3
2022-04-26,622,3
2022-04-27,508,3
2022-04-28,639,3
2022-04-29,1104,3
2022-05-02,625,3
2022-05-03,564,3
2022-05-04,828,3
2022-05-05,485,3
2022-05-06,528,3
2022-05-09,404,3
2022-05-10,570,3
2022-05-11,455,3
2022-05-12,523,3
2022-05-13,619,3
2022-05-16,658,3
2022-05-17,501,3
2022-05-18,665,3
2022-05-19,469,3
2022-05-20,824,3
2022-05-24,443,3
2022-05-25,460,3
2022-05-26,445,3
2022-05-27,535,3
2022-05-30,499,3
2022-05-31,580,3
2022-06-01,689,3
2022-06-02,718,3
2022-06-03,989,3
2022-06-06,417,3
2022-06-07,530,3
2022-06-08,584,3
2022-06-09,567,3
2022-06-10,634,3
2022-06-13,543,3
2022-06-14,662,3
2022-06-15,652,3
2022-06-16,865,3
2022-06-17,976,3
2022-06-20,517,3
2022-06-21,590,3
2022-06-22,682,3
2022-06-23,668,3
2022-06-24,857,3
2022-06-27,569,3
2022-06-28,341,2
2022-06-29,879,3
2022-06-30,844,3
2022-07-04,440,3
2022-07-05,524,3
2022-07-06,660,3
2022-07-07,580,3
2022-07-08,1005,3
2022-07-11,473,3
2022-07-12,690,3
2022-07-13,542,3
2022-07-14,592,3
2022-07-15,777,3
2022-07-18,406,3
2022-07-19,539,3
2022-07-20,643,3
2022-07-21,623,3
2022-07-22,798,3
2022-07-25,419,3
2022-07-26,823,3
2022-07-27,954,3
2022-07-28,871,3
2022-07-29,939,3
2022-08-02,597,3
2022-08-03,565,3
2022-08-04,520,3
2022-08-05,660,3
2022-08-08,1025,3
2022-08-09,549,3
2022-08-10,634,3
2022-08-11,596,3
2022-08-12,1081,3
2022-08-15,808,3
2022-08-16,1009,3
2022-08-17,937,3
2022-08-18,714,3
2022-08-19,1381,3
2022-08-22,996,3
2022-08-23,1052,3
2022-08-24,1197,3
2022-08-25,1096,3
2022-08-26,1731,3
2022-08-29,1808,4
2022-08-30,1134,7
2022-08-31,1633,3
2022-09-01,1407,3
2022-09-02,1496,3
2022-09-06,613,3
2022-09-07,898,3
2022-09-08,981,3
2022-09-09,1226,3
2022-09-12,620,3
2022-09-13,799,3
2022-09-14,851,3
2022-09-15,839,3
2022-09-16,1110,3
2022-09-19,359,2
2022-09-20,607,3
2022-09-21,600,3
2022-09-22,1065,3
2022-09-23,1146,3
2022-09-26,613,3
2022-09-27,716,3
2022-09-28,918,3
2022-09-29,627,3
2022-09-30,1009,3
2022-10-03,468,3
2022-10-04,541,3
2022-10-05,648,3
2022-10-06,659,3
2022-10-07,1408,3
2022-10-11,646,3
2022-10-12,676,3
2022-10-13,699,3
2022-10-14,717,3
2022-10-17,571,3
2022-10-18,568,3
2022-10-19,709,3
2022-10-20,710,3
2022-10-21,741,3
2022-10-24,523,3
2022-10-25,594,3
2022-10-26,662,3
2022-10-27,612,3
2022-10-28,743,3
