date,ridership Lakeshore West ALDERSHOT GO,total_train_trips Lakeshore West ALDERSHOT GO
2022-04-07,3293,19
2022-04-08,4518,19
2022-04-09,2135,18
2022-04-10,612,1
2022-04-11,2303,19
2022-04-12,3425,19
2022-04-13,2921,19
2022-04-14,3381,19
2022-04-15,2297,18
2022-04-16,3481,18
2022-04-17,2430,18
2022-04-18,2172,19
2022-04-19,3323,19
2022-04-20,3337,19
2022-04-21,2837,19
2022-04-22,2863,19
2022-04-23,2275,18
2022-04-24,1814,18
2022-04-25,2888,19
2022-04-26,4064,19
2022-04-27,3559,19
2022-04-28,4121,19
2022-04-29,4752,19
2022-04-30,4383,19
2022-05-01,3078,19
2022-05-02,3845,19
2022-05-03,3990,19
2022-05-04,4737,19
2022-05-05,3510,19
2022-05-06,3356,19
2022-05-07,2520,18
2022-05-08,2177,18
2022-05-09,2950,19
2022-05-10,4135,19
2022-05-11,3691,19
2022-05-12,3850,19
2022-05-13,3952,19
2022-05-14,4670,18
2022-05-15,2110,18
2022-05-16,3549,19
2022-05-17,3938,19
2022-05-18,4440,19
2022-05-19,3639,19
2022-05-20,3937,19
2022-05-21,3297,18
2022-05-22,3214,18
2022-05-23,1623,18
2022-05-24,3746,19
2022-05-25,3771,19
2022-05-26,3728,19
2022-05-27,3173,19
2022-05-28,3599,18
2022-05-29,2344,18
2022-05-30,3811,19
2022-05-31,4354,19
2022-06-01,4409,19
2022-06-02,4824,19
2022-06-03,5366,19
2022-06-05,1,1
2022-06-06,3181,19
2022-06-07,4127,19
2022-06-08,4396,19
2022-06-09,4728,19
2022-06-10,3911,19
2022-06-11,3959,18
2022-06-12,2848,18
2022-06-13,4097,19
2022-06-14,5161,19
2022-06-15,5037,18
2022-06-16,5767,19
2022-06-17,4630,17
2022-06-18,5733,18
2022-06-19,3976,19
2022-06-20,3518,19
2022-06-21,4517,18
2022-06-22,5871,19
2022-06-23,5086,19
2022-06-24,5067,19
2022-06-25,7704,20
2022-06-26,4993,18
2022-06-27,4003,19
2022-06-28,5097,18
2022-06-29,7037,19
2022-06-30,4957,19
2022-07-01,4641,18
2022-07-02,7424,18
2022-07-03,3553,18
2022-07-04,3320,18
2022-07-05,4369,19
2022-07-06,5290,19
2022-07-07,4209,19
2022-07-08,5073,19
2022-07-09,6770,18
2022-07-10,2952,18
2022-07-11,3612,19
2022-07-12,4949,23
2022-07-13,5041,18
2022-07-14,5528,19
2022-07-15,5988,19
2022-07-16,4954,14
2022-07-17,6050,18
2022-07-18,3204,19
2022-07-19,4355,18
2022-07-20,5560,19
2022-07-21,4453,18
2022-07-22,3680,17
2022-07-23,5974,18
2022-07-24,2185,18
2022-07-25,3490,20
2022-07-26,6024,19
2022-07-27,6374,19
2022-07-28,5167,19
2022-07-29,4847,19
2022-07-30,12785,26
2022-07-31,4904,18
2022-08-01,1937,18
2022-08-02,4382,19
2022-08-03,4479,19
2022-08-04,4138,18
2022-08-05,3934,18
2022-08-06,3723,15
2022-08-07,3118,19
2022-08-08,5181,19
2022-08-09,4223,19
2022-08-10,4727,19
2022-08-11,4628,20
2022-08-12,5546,19
2022-08-13,8779,19
2022-08-14,4714,18
2022-08-15,5468,19
2022-08-16,6948,19
2022-08-17,7861,20
2022-08-18,4953,19
2022-08-19,7995,19
2022-08-20,8895,18
2022-08-21,6039,18
2022-08-22,6304,19
2022-08-23,7348,19
2022-08-24,7991,19
2022-08-25,6606,19
2022-08-26,9976,19
2022-08-27,14160,18
2022-08-28,10089,18
2022-08-29,7865,20
2022-08-30,7499,35
2022-08-31,12042,20
2022-09-01,9815,20
2022-09-02,7779,19
2022-09-03,10271,18
2022-09-04,10388,18
2022-09-05,5516,18
2022-09-06,5002,19
2022-09-07,6771,19
2022-09-08,7332,19
2022-09-09,6186,18
2022-09-10,5316,18
2022-09-11,3968,19
2022-09-12,4613,19
2022-09-13,6256,19
2022-09-14,6409,19
2022-09-15,5983,19
2022-09-16,5701,19
2022-09-17,6228,18
2022-09-18,3874,18
2022-09-19,3880,18
2022-09-20,5723,19
2022-09-21,5195,18
2022-09-22,7048,19
2022-09-23,6977,20
2022-09-24,3958,18
2022-09-25,2000,19
2022-09-26,4417,16
2022-09-27,5761,16
2022-09-28,6601,16
2022-09-29,4212,16
2022-09-30,5920,16
2022-10-01,6375,17
2022-10-02,5315,19
2022-10-03,3947,16
2022-10-04,4897,16
2022-10-05,5629,16
2022-10-06,5240,16
2022-10-07,5639,16
2022-10-08,5600,18
2022-10-09,2511,18
2022-10-10,2086,18
2022-10-11,4999,16
2022-10-12,5449,16
2022-10-13,5304,16
2022-10-14,3859,16
2022-10-17,4364,16
2022-10-18,4993,16
2022-10-19,6308,18
2022-10-20,5490,16
2022-10-21,3958,16
2022-10-22,3444,19
2022-10-24,3883,15
2022-10-25,5353,16
2022-10-26,5508,15
2022-10-27,5245,16
2022-10-28,4368,16
2022-10-31,3775,16
2022-11-01,4664,17
2022-11-02,5569,16
2022-11-03,4821,16
2022-11-04,4069,16
2022-11-05,4280,18
2022-11-06,910,1
2022-11-07,3695,16
2022-11-08,5251,16
2022-11-09,5109,16
2022-11-10,5134,16
2022-11-11,4110,16
2022-11-12,3667,18
2022-11-13,3315,18
2022-11-14,3959,16
2022-11-15,4858,16
2022-11-16,4830,16
2022-11-17,4910,16
2022-11-18,3584,16
2022-11-19,3235,18
2022-11-20,2452,20
2022-11-21,3719,16
2022-11-22,4386,16
2022-11-23,4990,16
2022-11-24,4698,16
2022-11-25,4733,16
2022-11-26,3619,18
2022-11-27,2138,19
2022-11-28,4051,16
2022-11-29,3011,14
2022-11-30,4906,15
2022-12-01,5165,16
2022-12-02,4279,16
2022-12-03,3348,18
2022-12-04,2010,18
2022-12-05,4106,17
2022-12-06,4340,16
2022-12-07,5186,16
2022-12-08,5393,16
2022-12-09,4522,17
2022-12-10,3834,18
2022-12-11,2129,19
2022-12-12,3799,16
2022-12-13,4568,14
2022-12-14,4788,15
2022-12-15,3380,16
2022-12-16,4171,16
2022-12-17,3087,18
2022-12-18,2497,18
2022-12-19,3041,16
2022-12-20,4530,16
2022-12-21,3810,16
2022-12-22,4071,16
2022-12-23,1759,17
2022-12-24,1188,19
2022-12-25,1075,18
2022-12-26,1843,18
2022-12-27,2784,18
2022-12-28,2798,16
2022-12-29,3389,16
2022-12-30,3333,16
2022-12-31,2324,18
