date,ridership Barrie AURORA GO,total_train_trips Barrie AURORA GO
2019-10-19,601,8
2019-10-20,375,8
2019-10-21,507,8
2019-10-22,527,8
2019-10-23,553,8
2019-10-24,554,8
2019-10-25,584,8
2019-10-26,556,8
2019-10-27,337,8
2019-10-28,503,8
2019-10-29,527,8
2019-10-30,506,8
2019-10-31,510,7
2019-11-01,470,7
2019-11-02,404,8
2019-11-03,308,8
2019-11-04,406,7
2019-11-05,506,8
2019-11-06,513,8
2019-11-07,595,8
2019-11-08,551,8
2019-11-09,556,8
2019-11-10,394,8
2019-11-11,513,8
2019-11-12,543,6
2019-11-13,492,6
2019-11-14,557,8
2019-11-15,596,8
2019-11-16,443,8
2019-11-17,452,8
2019-11-18,177,4
2019-11-19,514,8
2019-11-20,561,8
2019-11-21,533,8
2019-11-22,565,8
2019-11-23,519,8
2019-11-24,352,8
2019-11-25,532,8
2019-11-26,562,8
2019-11-27,516,8
2019-11-28,577,8
2019-11-29,578,8
2019-11-30,555,8
2019-12-01,508,8
2019-12-02,490,8
2019-12-03,508,8
2019-12-04,544,8
2019-12-05,510,8
2019-12-06,650,8
2019-12-07,500,8
2019-12-08,364,8
2019-12-09,412,8
2019-12-10,536,8
2019-12-11,523,8
2019-12-12,411,7
2019-12-13,553,8
2019-12-14,574,8
2019-12-15,349,8
2019-12-16,391,8
2019-12-17,463,8
2019-12-18,419,7
2019-12-19,490,8
2019-12-20,548,8
2019-12-21,509,8
2019-12-22,491,8
2019-12-23,689,7
2019-12-24,225,6
2019-12-25,218,8
2019-12-26,491,8
2019-12-27,467,8
2019-12-28,589,8
2019-12-29,459,8
2019-12-30,630,8
2019-12-31,563,10
2020-01-01,303,8
2020-01-02,472,8
2020-01-03,565,8
2020-01-04,517,8
2020-01-05,285,8
2020-01-06,396,8
2020-01-07,422,8
2020-01-08,450,8
2020-01-09,413,8
2020-01-10,458,8
2020-01-11,387,8
2020-01-12,401,8
2020-01-13,542,8
2020-01-14,518,7
2020-01-15,492,7
2020-01-16,510,8
2020-01-17,514,8
2020-01-18,500,8
2020-01-19,309,8
2020-01-20,460,7
2020-01-21,512,8
2020-01-22,499,8
2020-01-23,523,8
