date,ridership Lakeshore West ALDERSHOT GO Midday,total_train_trips Lakeshore West ALDERSHOT GO Midday
2020-01-17,3143,11
2020-01-20,2918,11
2020-01-21,2805,11
2020-01-22,3140,11
2020-01-23,3034,11
2020-01-24,2954,11
2020-01-27,2817,11
2020-01-28,2770,11
2020-01-29,3013,11
2020-01-30,2976,11
2020-01-31,2740,11
2020-02-03,2778,11
2020-02-04,2717,11
2020-02-05,2894,11
2020-02-06,3128,11
2020-02-07,2746,11
2020-02-10,2748,11
2020-02-11,2705,11
2020-02-12,2867,11
2020-02-13,2928,11
2020-02-14,2638,10
2020-02-18,4414,8
2020-02-19,3065,11
2020-02-20,2882,11
2020-02-21,3144,11
2020-02-24,2562,10
2020-02-25,2795,11
2020-02-26,2494,10
2020-02-27,2707,11
2020-02-28,2356,11
2020-03-02,2641,8
2020-03-03,2776,10
2020-03-04,2866,11
2020-03-05,2761,10
2020-03-06,2600,11
2020-03-09,2736,11
2020-03-10,2638,11
2020-03-11,2689,11
2020-03-12,2430,11
2020-03-13,1620,11
2020-03-16,681,11
2020-03-17,378,11
2020-03-18,434,12
2020-03-19,368,12
2020-03-20,330,12
2020-03-23,230,12
2020-03-24,178,12
2020-03-25,124,12
2020-03-26,132,12
2020-03-27,130,12
2020-03-30,131,12
2020-03-31,122,12
2020-04-01,120,12
2020-04-02,121,12
2020-04-03,119,11
2020-04-06,110,12
2020-04-07,92,12
2020-04-08,94,6
2020-04-09,113,6
2020-04-13,99,6
2020-04-14,111,6
2020-04-15,113,6
2020-04-16,98,6
2020-04-17,100,6
2020-04-20,119,6
2020-04-21,100,6
2020-04-22,101,6
2020-04-23,43,1
2020-04-24,107,6
2020-04-27,99,6
2020-04-28,104,6
2020-04-29,108,6
2020-04-30,108,6
2020-05-01,131,6
2020-05-04,139,6
2020-05-05,132,6
2020-05-06,135,6
2020-05-07,117,6
2020-05-08,147,6
2020-05-11,138,6
2020-05-12,123,6
2020-05-13,124,5
2020-05-14,138,6
2020-05-15,138,6
2020-05-19,155,6
2020-05-20,169,6
2020-05-21,172,6
2020-05-22,186,6
2020-05-25,217,6
2020-05-26,192,6
2020-05-27,167,6
2020-05-28,198,6
2020-05-29,193,6
2020-06-01,220,6
2020-06-02,197,6
2020-06-03,197,6
2020-06-04,218,6
2020-06-05,252,6
2020-06-08,255,6
2020-06-09,235,6
2020-06-10,232,6
2020-06-11,255,6
2020-06-12,288,6
2020-06-15,285,6
2020-06-16,278,6
2020-06-17,268,6
2020-06-18,303,6
2020-06-19,341,6
2020-06-22,316,6
2020-06-23,305,6
2020-06-24,345,6
2020-06-25,363,6
2020-06-26,358,5
2020-06-29,399,6
2020-06-30,440,6
2020-07-02,450,6
2020-07-03,494,6
2020-07-06,450,6
2020-07-07,442,6
2020-07-08,452,6
2020-07-09,447,6
2020-07-10,473,6
2020-07-13,487,6
2020-07-14,495,6
2020-07-15,547,6
2020-07-16,450,6
2020-07-17,571,6
2020-07-20,532,6
2020-07-21,537,6
2020-07-22,440,6
2020-07-23,523,6
2020-07-24,569,6
2020-07-27,501,6
2020-07-28,538,6
2020-07-29,532,6
2020-07-30,564,6
2020-07-31,692,6
2020-08-04,523,6
2020-08-05,659,6
2020-08-06,659,6
2020-08-07,702,6
2020-08-10,623,6
2020-08-11,598,6
2020-08-12,720,6
2020-08-13,711,6
2020-08-14,734,6
2020-08-17,645,6
2020-08-18,720,6
2020-08-19,757,6
2020-08-20,741,6
2020-08-21,818,6
2020-08-24,754,6
2020-08-25,753,6
2020-08-26,763,6
2020-08-27,743,6
2020-08-28,897,5
2020-08-31,780,6
2020-09-01,790,6
2020-09-02,761,6
2020-09-03,858,6
2020-09-04,931,6
2020-09-08,828,12
2020-09-09,901,12
2020-09-10,882,12
2020-09-11,895,12
2020-09-14,791,12
2020-09-15,812,12
2020-09-16,840,12
2020-09-17,836,12
2020-09-18,827,12
2020-09-21,741,12
2020-09-22,769,12
2020-09-23,806,12
2020-09-24,820,12
2020-09-25,844,12
2020-09-28,706,12
2020-09-29,727,12
2020-09-30,708,12
2020-10-01,751,12
2020-10-02,702,12
2020-10-05,681,12
2020-10-06,657,12
2020-10-07,690,12
2020-10-08,716,12
2020-10-09,757,12
2020-10-13,729,12
2020-10-14,710,12
2020-10-15,658,12
2020-10-16,692,12
2020-10-19,620,12
2020-10-20,654,12
2020-10-21,646,12
2020-10-22,685,12
2020-10-23,722,12
2020-10-26,614,12
2020-10-27,670,12
2020-10-28,755,12
2020-10-29,680,12
2020-10-30,700,12
2020-11-02,639,12
2020-11-03,653,12
2020-11-04,740,12
2020-11-05,731,12
2020-11-06,745,12
2020-11-09,695,12
2020-11-10,706,12
2020-11-11,664,12
2020-11-12,697,12
2020-11-13,691,12
2020-11-16,588,12
2020-11-17,623,12
2020-11-18,634,12
2020-11-19,620,12
2020-11-20,552,3
2020-11-23,515,12
2020-11-24,514,12
2020-11-25,528,12
2020-11-26,519,12
2020-11-27,498,12
2020-11-30,531,12
2020-12-01,563,12
2020-12-02,500,12
2020-12-03,538,12
2020-12-04,518,12
2020-12-07,511,12
2020-12-08,510,12
2020-12-09,495,12
2020-12-10,524,12
2020-12-11,518,12
2020-12-14,500,12
2020-12-15,499,12
2020-12-16,516,12
2020-12-17,541,12
2020-12-18,515,12
2020-12-21,484,12
2020-12-22,465,12
2020-12-23,474,12
