date,ridership Barrie ALLANDALE WATERFRONT GO,total_train_trips Barrie ALLANDALE WATERFRONT GO
2022-09-08,3332,8
2022-09-09,1931,7
2022-09-12,2861,8
2022-09-13,3659,8
2022-09-14,3713,8
2022-09-15,3471,8
2022-09-16,1995,8
2022-09-17,986,6
2022-09-18,842,6
2022-09-19,2732,8
2022-09-20,3665,8
2022-09-21,3643,8
2022-09-22,3446,8
2022-09-23,1953,8
2022-09-24,753,6
2022-09-25,534,6
2022-09-26,2682,8
2022-09-27,3454,8
2022-09-28,3645,8
2022-09-29,3240,8
2022-09-30,1646,7
2022-10-01,1120,6
2022-10-02,1036,6
2022-10-03,2721,8
2022-10-04,3437,8
2022-10-05,3470,8
2022-10-06,3330,8
2022-10-07,1905,8
2022-10-08,956,6
2022-10-09,762,6
2022-10-10,845,6
2022-10-11,3145,9
2022-10-12,3293,9
2022-10-13,3068,9
2022-10-14,1599,9
2022-10-15,396,4
2022-10-16,526,6
2022-10-17,2706,9
2022-10-18,3644,9
2022-10-19,3636,9
2022-10-20,3404,9
2022-10-21,1884,9
2022-10-22,705,6
2022-10-23,602,6
2022-10-24,2694,9
2022-10-25,3536,9
2022-10-26,3629,9
2022-10-27,3420,9
2022-10-28,1803,9
2022-10-31,2447,9
2022-11-01,3601,9
2022-11-02,3907,9
2022-11-03,3485,9
2022-11-04,1882,9
2022-11-05,784,6
2022-11-06,618,6
2022-11-07,2510,9
2022-11-08,3466,9
2022-11-09,3341,8
2022-11-10,3158,9
2022-11-11,1466,9
2022-11-12,685,6
2022-11-13,538,6
2022-11-14,2698,9
2022-11-15,3611,9
2022-11-16,3493,9
2022-11-17,3364,9
2022-11-18,1781,9
2022-11-19,659,6
2022-11-20,681,6
2022-11-21,2566,9
2022-11-22,3609,9
2022-11-23,3592,9
2022-11-24,3189,9
2022-11-25,1795,9
2022-11-26,675,6
2022-11-27,471,6
2022-11-28,2656,9
2022-11-29,3573,9
2022-11-30,3533,9
2022-12-01,3425,9
2022-12-02,1860,9
2022-12-03,558,6
2022-12-04,491,6
2022-12-05,2643,9
2022-12-06,3429,9
2022-12-07,3560,9
2022-12-08,3368,9
2022-12-09,1770,9
2022-12-10,760,6
2022-12-11,609,6
2022-12-12,2388,9
2022-12-13,3435,9
2022-12-14,3426,9
2022-12-15,1927,4
2022-12-16,1054,4
2022-12-19,1955,9
2022-12-20,2499,9
2022-12-21,2127,9
2022-12-22,1565,9
2022-12-23,377,4
2022-12-24,353,6
2022-12-25,273,5
2022-12-26,638,6
2022-12-27,840,6
2022-12-28,962,9
2022-12-29,930,9
2022-12-30,752,9
2022-12-31,641,6
