date,ridership Barrie ALLANDALE WATERFRONT GO,total_train_trips Barrie ALLANDALE WATERFRONT GO
2019-10-02,6523,7
2019-10-03,6430,7
2019-10-04,5514,7
2019-10-05,696,5
2019-10-06,469,5
2019-10-07,6539,7
2019-10-08,6651,7
2019-10-09,6403,7
2019-10-10,6358,7
2019-10-11,4798,7
2019-10-12,476,5
2019-10-13,565,4
2019-10-14,859,5
2019-10-15,6324,7
2019-10-16,6067,7
2019-10-17,6126,7
2019-10-18,5233,7
2019-10-19,706,5
2019-10-20,655,5
2019-10-21,6131,7
2019-10-22,6448,7
2019-10-23,6408,7
2019-10-24,6261,7
2019-10-25,5346,7
2019-10-26,682,5
2019-10-27,505,5
2019-10-28,6498,7
2019-10-29,6597,7
2019-10-30,6522,7
2019-10-31,6034,7
2019-11-01,5341,7
2019-11-02,531,5
2019-11-03,504,5
2019-11-04,6578,7
2019-11-05,6691,7
2019-11-06,6312,6
2019-11-07,6262,7
2019-11-08,5258,7
2019-11-09,726,5
2019-11-10,586,5
2019-11-11,4188,7
2019-11-12,6374,7
2019-11-13,6538,7
2019-11-14,6350,7
2019-11-15,5145,7
2019-11-16,574,5
2019-11-17,906,5
2019-11-18,6387,7
2019-11-19,6541,7
2019-11-20,6460,7
2019-11-21,6337,7
2019-11-22,5252,7
2019-11-23,645,5
2019-11-24,537,5
2019-11-25,6421,7
2019-11-26,6608,7
2019-11-27,6296,7
2019-11-28,6097,7
2019-11-29,4935,7
2019-11-30,754,5
2019-12-01,650,5
2019-12-02,5672,7
2019-12-03,6346,7
2019-12-04,6296,7
2019-12-05,6113,7
2019-12-06,4913,7
2019-12-07,748,5
2019-12-08,528,5
2019-12-09,6236,7
2019-12-10,6408,7
2019-12-11,6141,7
2019-12-12,5950,7
2019-12-13,4965,7
2019-12-14,705,5
2019-12-15,536,5
2019-12-16,5758,7
2019-12-17,5906,7
2019-12-18,5511,7
2019-12-19,5141,7
2019-12-20,4181,7
2019-12-21,752,5
2019-12-22,629,5
2019-12-23,2900,7
2019-12-24,1517,7
2019-12-25,359,5
2019-12-26,712,5
2019-12-27,1310,7
2019-12-28,792,5
2019-12-29,578,5
2019-12-30,2079,7
2019-12-31,2916,12
2020-01-01,363,5
2020-01-02,3499,7
2020-01-03,3165,7
2020-01-04,680,5
2020-01-05,452,5
2020-01-06,6472,7
2020-01-07,6422,7
2020-01-08,6361,7
2020-01-09,6215,7
2020-01-10,5386,7
2020-01-11,497,5
2020-01-12,450,5
2020-01-13,6459,7
2020-01-14,6734,7
2020-01-15,6460,7
2020-01-16,6349,7
2020-01-17,5210,7
2020-01-18,696,5
2020-01-19,516,5
2020-01-20,6114,7
2020-01-21,6585,7
2020-01-22,6481,7
2020-01-23,6278,7
2020-01-24,4942,7
2020-01-25,565,5
2020-01-26,488,5
2020-01-27,6310,7
2020-01-28,6412,7
2020-01-29,6223,7
2020-01-30,6139,7
2020-01-31,5000,7
2020-02-01,639,5
2020-02-02,467,5
2020-02-03,6300,7
2020-02-04,6295,7
2020-02-05,6392,7
2020-02-06,5783,7
2020-02-07,5086,7
2020-02-08,373,4
2020-02-09,396,6
2020-02-10,6148,7
2020-02-11,6241,7
