date,ridership Barrie,total_train_trips Barrie
2022-08-16,5923,30
2022-08-17,6279,30
2022-08-18,5320,30
2022-08-19,3702,30
2022-08-20,3257,22
2022-08-21,2502,22
2022-08-22,4079,30
2022-08-23,5902,30
2022-08-24,6123,30
2022-08-25,5599,30
2022-08-26,4439,30
2022-08-27,4962,22
2022-08-28,4045,20
2022-08-29,4505,29
2022-08-30,5489,35
2022-08-31,6293,30
2022-09-01,5383,30
2022-09-02,3846,30
2022-09-03,3089,22
2022-09-04,2893,22
2022-09-05,2241,22
2022-09-06,6736,30
2022-09-07,6910,30
2022-09-08,7456,30
2022-09-09,4962,28
2022-09-12,6518,30
2022-09-13,8355,30
2022-09-14,8195,30
2022-09-15,7973,30
2022-09-16,5076,30
2022-09-17,2673,20
2022-09-18,2335,22
2022-09-19,6149,30
2022-09-20,8181,30
2022-09-21,8112,30
2022-09-22,7794,30
2022-09-23,5089,30
2022-09-24,2520,30
2022-09-25,1593,30
2022-09-26,6154,30
2022-09-27,7769,30
2022-09-28,8293,30
2022-09-29,7432,30
2022-09-30,4430,28
2022-10-01,3282,22
2022-10-02,2932,22
2022-10-03,6244,30
2022-10-04,7784,30
2022-10-05,7813,30
2022-10-06,7733,30
2022-10-07,5459,30
2022-10-08,3054,20
2022-10-09,2215,21
2022-10-10,1744,22
2022-10-11,6866,32
2022-10-12,7265,32
2022-10-13,6790,32
2022-10-14,4080,32
2022-10-15,1883,25
2022-10-16,1735,30
2022-10-17,6249,32
2022-10-18,8140,32
2022-10-19,8038,32
2022-10-20,7703,32
2022-10-21,4829,32
2022-10-22,2457,30
2022-10-23,1932,30
2022-10-24,6015,32
2022-10-25,7959,32
2022-10-26,8132,32
2022-10-27,7701,32
2022-10-28,4753,32
2022-10-29,2032,29
2022-10-30,1347,29
2022-10-31,5678,32
2022-11-01,8070,32
2022-11-02,8776,32
2022-11-03,7863,32
2022-11-04,4858,32
2022-11-05,2789,30
2022-11-06,2018,30
2022-11-07,5752,32
2022-11-08,7733,32
2022-11-09,7637,30
2022-11-10,7196,32
2022-11-11,3846,32
2022-11-12,2371,30
2022-11-13,1856,30
2022-11-14,6222,32
2022-11-15,8017,32
2022-11-16,7823,32
2022-11-17,7662,32
2022-11-18,4594,32
2022-11-19,2272,30
2022-11-20,1904,26
2022-11-21,5959,32
2022-11-22,8033,32
2022-11-23,8061,32
2022-11-24,7202,32
2022-11-25,4602,32
2022-11-26,2419,30
2022-11-27,1543,30
2022-11-28,6176,32
2022-11-29,7953,32
2022-11-30,7999,32
2022-12-01,7782,32
2022-12-02,4770,32
2022-12-03,1992,30
2022-12-04,1631,30
2022-12-05,5953,32
2022-12-06,7500,30
2022-12-07,7878,32
2022-12-08,7544,32
2022-12-09,4448,32
2022-12-10,2651,30
2022-12-11,1914,30
2022-12-12,5637,32
2022-12-13,7687,32
2022-12-14,7771,32
2022-12-15,4934,29
2022-12-16,3575,29
2022-12-19,4576,32
2022-12-20,5905,32
2022-12-21,5297,32
2022-12-22,4679,32
2022-12-23,1852,29
2022-12-24,1605,30
2022-12-25,855,24
2022-12-26,1667,30
2022-12-27,2358,30
2022-12-28,2740,32
2022-12-29,2876,32
2022-12-30,2485,32
2022-12-31,1788,30
