date,ridership Barrie,total_train_trips Barrie
2019-09-27,14438,36
2019-09-28,3078,25
2019-09-29,2324,25
2019-09-30,15892,36
2019-10-01,16192,36
2019-10-02,16264,36
2019-10-03,16172,36
2019-10-04,14145,36
2019-10-05,2231,25
2019-10-06,1510,25
2019-10-07,16272,36
2019-10-08,16667,36
2019-10-09,15981,34
2019-10-10,16205,36
2019-10-11,13229,36
2019-10-12,2062,25
2019-10-13,1941,24
2019-10-14,2116,25
2019-10-15,15593,36
2019-10-16,13551,31
2019-10-17,14547,33
2019-10-18,13437,36
2019-10-19,2415,25
2019-10-20,1842,25
2019-10-21,15399,36
2019-10-22,16231,36
2019-10-23,15989,36
2019-10-24,15839,36
2019-10-25,13785,36
2019-10-26,2309,25
2019-10-27,1507,25
2019-10-28,16048,36
2019-10-29,16467,36
2019-10-30,16334,36
2019-10-31,15245,34
2019-11-01,13719,34
2019-11-02,1789,25
2019-11-03,1409,25
2019-11-04,16108,34
2019-11-05,16390,36
2019-11-06,15981,35
2019-11-07,16087,36
2019-11-08,13538,36
2019-11-09,2401,25
2019-11-10,1733,25
2019-11-11,11102,36
2019-11-12,16407,32
2019-11-13,16149,32
2019-11-14,16146,36
2019-11-15,13662,36
2019-11-16,1997,25
2019-11-17,2354,25
2019-11-18,15431,29
2019-11-19,16379,36
2019-11-20,16339,36
2019-11-21,15997,36
2019-11-22,13680,36
2019-11-23,2197,25
2019-11-24,1584,25
2019-11-25,16073,36
2019-11-26,16553,36
2019-11-27,16052,36
2019-11-28,15485,36
2019-11-29,13015,36
2019-11-30,2430,25
2019-12-01,2012,25
2019-12-02,14773,36
2019-12-03,16094,36
2019-12-04,15862,36
2019-12-05,15376,36
2019-12-06,13019,36
2019-12-07,2433,25
2019-12-08,1597,25
2019-12-09,15319,36
2019-12-10,15868,36
2019-12-11,15407,36
2019-12-12,14444,33
2019-12-13,12659,36
2019-12-14,2449,25
2019-12-15,1633,25
2019-12-16,14117,36
2019-12-17,14582,36
2019-12-18,13866,33
2019-12-19,13362,36
2019-12-20,11119,36
2019-12-21,2444,25
2019-12-22,2237,25
2019-12-23,8674,34
2019-12-24,4695,32
2019-12-25,1061,25
2019-12-26,1878,25
2019-12-27,4157,36
2019-12-28,2374,25
2019-12-29,1847,25
2019-12-30,6352,36
2019-12-31,8041,56
2020-01-01,1347,25
2020-01-02,9179,36
2020-01-03,8583,36
2020-01-04,2145,25
2020-01-05,1265,25
2020-01-06,15789,36
2020-01-07,15757,36
2020-01-08,15717,36
2020-01-09,15449,36
2020-01-10,13605,36
2020-01-11,1654,25
2020-01-12,1510,25
2020-01-13,16085,36
2020-01-14,15327,31
2020-01-15,15864,33
2020-01-16,16116,36
2020-01-17,13448,36
2020-01-18,2266,25
2020-01-19,1526,25
2020-01-20,15502,34
2020-01-21,16309,36
2020-01-22,16294,36
2020-01-23,16113,36
2020-01-24,13372,35
2020-01-25,1956,25
2020-01-26,1452,25
2020-01-27,15764,36
2020-01-28,16034,36
2020-01-29,15742,36
2020-01-30,15532,36
2020-01-31,12773,31
2020-02-01,2109,25
2020-02-02,1503,25
2020-02-03,15729,36
2020-02-04,15961,36
2020-02-05,15860,34
2020-02-06,14852,36
2020-02-07,13086,34
2020-02-08,1557,20
2020-02-09,1269,26
2020-02-10,15325,36
2020-02-11,15486,36
2020-02-12,15486,34
2020-02-13,15226,36
2020-02-14,11780,31
2020-02-15,1330,15
2020-02-16,1654,25
2020-02-17,1909,25
2020-02-18,14725,36
2020-02-19,14681,36
2020-02-20,14507,36
2020-02-21,12339,36
2020-02-22,2324,25
2020-02-23,1827,25
2020-02-24,15345,36
2020-02-25,15385,33
2020-02-26,14484,36
2020-02-27,12935,36
2020-02-28,12671,34
2020-02-29,1920,25
2020-03-01,1263,25
2020-03-02,15406,36
2020-03-03,15565,36
2020-03-04,15393,36
2020-03-05,14757,36
2020-03-06,12943,36
2020-03-07,1905,25
2020-03-08,1271,25
2020-03-09,14382,36
2020-03-10,14520,36
2020-03-11,13921,34
2020-03-12,12601,36
2020-03-13,8682,36
2020-03-14,747,25
2020-03-15,573,25
2020-03-16,3841,36
2020-03-17,2260,36
2020-03-18,1363,30
2020-03-19,1084,30
2020-03-20,888,31
2020-03-21,129,25
2020-03-22,115,25
2020-03-23,686,29
2020-03-24,575,30
2020-03-25,468,28
2020-03-26,459,28
2020-03-27,412,30
2020-03-28,79,22
2020-03-29,65,23
2020-03-30,397,30
2020-03-31,410,30
2020-04-01,399,30
2020-04-02,389,30
2020-04-03,333,29
2020-04-04,56,24
2020-04-05,50,22
2020-04-06,318,24
2020-04-07,333,29
2020-04-08,298,27
2020-04-09,311,24
2020-04-10,65,22
2020-04-11,53,24
2020-04-12,53,24
2020-04-13,213,25
2020-04-14,288,25
2020-04-15,276,25
2020-04-16,287,23
2020-04-17,276,26
2020-04-18,60,23
2020-04-19,49,21
2020-04-20,298,25
2020-04-21,281,26
2020-04-22,288,26
2020-04-23,315,26
2020-04-24,270,25
2020-04-25,72,22
2020-04-26,71,24
2020-04-27,278,25
2020-04-28,300,26
2020-04-29,289,25
2020-04-30,285,25
2020-05-01,306,25
2020-05-02,83,24
2020-05-03,95,21
2020-05-04,301,25
2020-05-05,321,26
2020-05-06,306,25
2020-05-07,292,24
2020-05-08,265,26
2020-05-09,76,23
2020-05-10,87,25
2020-05-11,291,26
2020-05-12,349,25
2020-05-13,267,12
2020-05-14,275,12
2020-05-15,266,12
2020-05-19,332,12
2020-05-20,312,12
2020-05-21,320,12
2020-05-22,309,12
2020-05-25,346,12
2020-05-26,365,12
2020-05-27,332,12
2020-05-28,330,12
