date,ridership Milton MILTON GO,total_train_trips Milton MILTON GO
2020-01-10,9043,10
2020-01-13,10603,10
2020-01-14,10878,10
2020-01-15,10530,10
2020-01-16,10614,10
2020-01-17,6964,9
2020-01-20,10284,10
2020-01-21,10878,10
2020-01-22,11927,10
2020-01-23,10705,10
2020-01-24,9005,10
2020-01-27,10466,10
2020-01-28,10699,10
2020-01-29,10264,10
2020-01-30,10350,10
2020-01-31,8466,10
2020-02-03,10470,10
2020-02-04,10457,10
2020-02-05,10512,10
2020-02-06,9341,10
2020-02-07,8611,10
2020-02-10,10411,10
2020-02-11,10621,10
2020-02-12,10553,10
2020-02-13,10398,10
2020-02-14,7533,10
2020-02-18,9939,10
2020-02-19,10183,10
2020-02-20,10089,10
2020-02-21,8131,10
2020-02-24,10541,10
2020-02-25,10620,10
2020-02-26,8634,10
2020-02-27,9254,10
2020-02-28,8726,10
2020-03-02,10476,10
2020-03-03,10708,10
2020-03-04,10362,10
2020-03-05,10109,10
2020-03-06,8540,10
2020-03-09,9495,10
2020-03-10,9704,10
2020-03-11,9258,10
2020-03-12,8414,10
2020-03-13,5702,10
2020-03-16,2501,10
2020-03-17,1375,10
2020-03-18,818,6
2020-03-19,620,6
2020-03-20,451,6
2020-03-23,363,6
2020-03-24,290,6
2020-03-25,234,6
2020-03-26,222,6
2020-03-27,200,6
2020-03-30,192,6
2020-03-31,192,6
2020-04-01,188,6
2020-04-02,168,6
2020-04-03,151,6
2020-04-06,146,6
2020-04-07,137,6
2020-04-08,145,4
2020-04-09,135,4
2020-04-13,94,4
2020-04-14,124,4
2020-04-15,129,4
2020-04-16,125,4
2020-04-17,108,4
2020-04-20,132,4
2020-04-21,127,4
2020-04-22,132,4
2020-04-23,127,4
2020-04-24,105,4
2020-04-27,129,4
2020-04-28,124,4
2020-04-29,136,4
2020-04-30,131,4
2020-05-01,123,4
2020-05-04,129,4
2020-05-05,125,4
2020-05-06,118,4
2020-05-07,112,4
2020-05-08,105,4
2020-05-11,117,4
2020-05-12,114,4
2020-05-13,119,4
2020-05-14,113,4
2020-05-15,107,4
