date,ridership Barrie UNION STATION,total_train_trips Barrie UNION STATION
2022-09-07,3239,15
2022-09-08,3497,15
2022-09-09,2413,14
2022-09-12,3063,15
2022-09-13,3994,15
2022-09-14,3892,15
2022-09-15,3813,15
2022-09-16,2494,15
2022-09-17,1114,10
2022-09-18,1051,11
2022-09-19,2900,15
2022-09-20,3882,15
2022-09-21,3874,15
2022-09-22,3698,15
2022-09-23,2477,15
2022-09-24,1136,15
2022-09-25,696,15
2022-09-26,2952,15
2022-09-27,3703,15
2022-09-28,3997,15
2022-09-29,3600,15
2022-09-30,2224,15
2022-10-01,1484,11
2022-10-02,1331,11
2022-10-03,3010,15
2022-10-04,3769,15
2022-10-05,3799,15
2022-10-06,3797,15
2022-10-07,2834,15
2022-10-08,1546,10
2022-10-09,1166,11
2022-10-10,581,11
2022-10-11,3207,16
2022-10-12,3467,16
2022-10-13,3258,16
2022-10-14,2023,16
2022-10-15,828,13
2022-10-16,785,15
2022-10-17,3016,16
2022-10-18,3902,16
2022-10-19,3857,16
2022-10-20,3715,16
2022-10-21,2409,16
2022-10-22,1115,15
2022-10-23,868,15
2022-10-24,2896,16
2022-10-25,3847,16
2022-10-26,3894,16
2022-10-27,3695,16
2022-10-28,2303,16
2022-10-29,862,14
2022-10-30,627,14
2022-10-31,2739,16
2022-11-01,3896,16
2022-11-02,4203,16
2022-11-03,3800,16
2022-11-04,2422,16
2022-11-05,1269,15
2022-11-06,911,15
2022-11-07,2738,16
2022-11-08,3683,16
2022-11-09,3626,15
2022-11-10,3478,16
2022-11-11,1891,16
2022-11-12,1057,15
2022-11-13,833,15
2022-11-14,2994,16
2022-11-15,3860,16
2022-11-16,3769,16
2022-11-17,3701,16
2022-11-18,2266,16
2022-11-19,1035,15
2022-11-20,863,13
2022-11-21,2875,16
2022-11-22,3869,16
2022-11-23,3923,16
2022-11-24,3477,16
2022-11-25,2307,16
2022-11-26,1131,15
2022-11-27,703,15
2022-11-28,2967,16
2022-11-29,3838,16
2022-11-30,3857,16
2022-12-01,3725,16
2022-12-02,2359,16
2022-12-03,900,15
2022-12-04,737,15
2022-12-05,2842,16
2022-12-06,3595,15
2022-12-07,3764,16
2022-12-08,3555,16
2022-12-09,2118,16
2022-12-10,1212,15
2022-12-11,877,15
2022-12-12,2717,16
2022-12-13,3674,16
2022-12-14,3727,16
2022-12-15,2333,15
2022-12-16,1790,15
2022-12-19,2241,16
2022-12-20,2886,16
2022-12-21,2662,16
2022-12-22,2425,16
2022-12-23,1106,15
2022-12-24,1056,15
2022-12-25,403,12
2022-12-26,642,15
2022-12-27,933,15
2022-12-28,1269,16
2022-12-29,1355,16
2022-12-30,1210,16
2022-12-31,655,15
