date,ridership Milton UNION STATION PM Peak,total_train_trips Milton UNION STATION PM Peak
2020-01-21,8943,8
2020-01-22,8712,8
2020-01-23,8528,8
2020-01-24,7392,8
2020-01-27,8702,8
2020-01-28,8670,8
2020-01-29,8309,8
2020-01-30,8151,8
2020-01-31,6795,8
2020-02-03,8578,8
2020-02-04,8480,8
2020-02-05,8496,8
2020-02-06,7547,7
2020-02-07,6763,8
2020-02-10,8531,8
2020-02-11,8552,8
2020-02-12,8493,8
2020-02-13,8031,8
2020-02-14,5959,8
2020-02-18,8341,8
2020-02-19,8316,8
2020-02-20,8060,8
2020-02-21,6525,8
2020-02-24,8716,8
2020-02-25,4244,4
2020-02-26,7126,8
2020-02-27,7292,8
2020-02-28,6946,8
2020-03-02,8690,8
2020-03-03,8646,8
2020-03-04,8391,8
2020-03-05,8065,8
2020-03-06,6849,8
2020-03-09,8005,8
2020-03-10,7912,8
2020-03-11,7605,8
2020-03-12,6744,8
2020-03-13,4405,8
2020-03-16,2023,8
2020-03-17,1154,8
2020-03-18,720,5
2020-03-19,541,5
2020-03-20,389,5
2020-03-23,312,5
2020-03-24,269,5
2020-03-25,220,5
2020-03-26,208,5
2020-03-27,167,5
2020-03-30,190,5
2020-03-31,192,5
2020-04-01,183,5
2020-04-02,171,5
2020-04-03,149,5
2020-04-06,150,5
2020-04-07,143,5
2020-04-08,143,3
2020-04-09,123,3
2020-04-13,90,3
2020-04-14,124,3
2020-04-15,120,3
2020-04-16,121,3
2020-04-17,106,3
2020-04-20,119,3
2020-04-21,120,3
2020-04-22,124,3
2020-04-23,121,3
2020-04-24,104,3
2020-04-27,129,3
2020-04-28,123,3
2020-04-29,121,3
2020-04-30,118,3
2020-05-01,111,3
2020-05-04,126,3
2020-05-05,126,3
2020-05-06,122,3
2020-05-07,118,3
2020-05-08,106,3
2020-05-11,113,3
2020-05-12,109,3
2020-05-13,121,3
2020-05-14,119,3
2020-05-15,96,3
2020-05-19,138,3
2020-05-20,139,3
2020-05-21,128,3
2020-05-22,119,3
2020-05-25,137,3
2020-05-26,145,3
2020-05-27,132,3
2020-05-28,128,3
2020-05-29,113,3
2020-06-01,150,3
2020-06-02,145,3
2020-06-03,163,3
2020-06-04,165,3
2020-06-05,126,3
2020-06-08,147,3
2020-06-09,163,3
2020-06-10,152,3
2020-06-11,186,3
2020-06-12,147,3
2020-06-15,183,3
2020-06-16,181,3
2020-06-17,173,3
2020-06-18,192,3
2020-06-19,177,3
2020-06-22,200,3
2020-06-23,190,3
2020-06-24,220,3
2020-06-25,200,3
2020-06-26,174,3
2020-06-29,216,3
2020-06-30,223,3
2020-07-02,219,3
2020-07-03,193,3
2020-07-06,261,3
2020-07-07,256,3
2020-07-08,251,3
2020-07-09,259,3
2020-07-10,220,3
2020-07-13,250,3
2020-07-14,281,3
2020-07-15,276,3
2020-07-16,272,3
2020-07-17,257,3
2020-07-20,209,3
2020-07-21,225,3
2020-07-22,223,3
2020-07-23,227,3
2020-07-24,196,3
2020-07-27,231,3
2020-07-28,244,3
2020-07-29,242,3
2020-07-30,239,3
2020-07-31,214,3
2020-08-04,257,3
2020-08-05,259,3
2020-08-06,273,3
2020-08-07,227,3
