date,ridership Stouffville UNION STATION PM Peak,total_train_trips Stouffville UNION STATION PM Peak
2020-01-20,4552,5
2020-01-21,4841,5
2020-01-22,4712,5
2020-01-23,4701,5
2020-01-24,4157,5
2020-01-27,4594,5
2020-01-28,4573,5
2020-01-29,4464,5
2020-01-30,4389,5
2020-01-31,3686,5
2020-02-03,4585,5
2020-02-04,4629,5
2020-02-05,4490,5
2020-02-06,4041,5
2020-02-07,3807,5
2020-02-10,4530,5
2020-02-11,4531,5
2020-02-12,4548,5
2020-02-13,4246,5
2020-02-14,3356,5
2020-02-18,4483,5
2020-02-19,4523,5
2020-02-20,4404,5
2020-02-21,3764,5
2020-02-24,4659,5
2020-02-25,4878,5
2020-02-26,4332,5
2020-02-27,3851,5
2020-02-28,3862,5
2020-03-02,4628,5
2020-03-03,4629,5
2020-03-04,4469,5
2020-03-05,4276,5
2020-03-06,3867,5
2020-03-09,4425,5
2020-03-10,4323,5
2020-03-11,4074,5
2020-03-12,3692,5
2020-03-13,2519,5
2020-03-16,1055,5
2020-03-17,591,5
2020-03-18,320,4
2020-03-19,283,4
2020-03-20,190,4
2020-03-23,158,4
2020-03-24,121,4
2020-03-25,103,4
2020-03-26,86,4
2020-03-27,82,4
2020-03-30,82,4
2020-03-31,84,4
2020-04-01,78,4
2020-04-02,86,4
2020-04-03,70,4
2020-04-06,80,4
2020-04-07,72,4
2020-04-08,55,3
2020-04-09,54,3
2020-04-13,38,3
2020-04-14,64,3
2020-04-15,54,3
2020-04-16,57,3
2020-04-17,48,3
2020-04-20,59,3
2020-04-21,62,3
2020-04-22,65,3
2020-04-23,56,3
2020-04-24,56,3
2020-04-27,60,3
2020-04-28,70,3
2020-04-29,57,3
2020-04-30,65,3
2020-05-01,51,3
2020-05-04,69,3
2020-05-05,66,3
2020-05-06,62,3
2020-05-07,68,3
2020-05-08,66,3
2020-05-11,62,3
2020-05-12,63,3
2020-05-13,69,3
2020-05-14,59,3
2020-05-15,50,3
2020-05-19,70,3
2020-05-20,73,3
2020-05-21,64,3
2020-05-22,66,3
2020-05-25,78,3
2020-05-26,78,3
2020-05-27,76,3
2020-05-28,73,3
2020-05-29,62,3
2020-06-01,78,3
2020-06-02,75,3
2020-06-03,78,3
2020-06-04,86,3
2020-06-05,67,3
2020-06-08,80,3
2020-06-09,86,3
2020-06-10,76,2
2020-06-11,95,3
2020-06-12,69,3
2020-06-15,102,3
2020-06-16,101,3
2020-06-17,102,3
2020-06-18,98,3
2020-06-19,98,3
2020-06-22,106,3
2020-06-23,108,3
2020-06-24,110,3
2020-06-25,114,3
2020-06-26,103,3
2020-06-29,124,3
2020-06-30,128,3
2020-07-02,131,3
2020-07-03,106,3
2020-07-06,149,3
2020-07-07,140,3
2020-07-08,140,3
2020-07-09,132,3
2020-07-10,125,3
2020-07-13,136,3
2020-07-14,143,3
2020-07-15,151,3
2020-07-16,143,3
2020-07-17,119,3
2020-07-20,117,3
2020-07-21,128,3
2020-07-22,130,3
2020-07-23,128,3
2020-07-24,121,3
2020-07-27,132,3
2020-07-28,124,3
2020-07-29,121,3
2020-07-30,120,3
2020-07-31,113,3
2020-08-04,137,3
2020-08-05,147,3
2020-08-06,152,3
