date,ridership Stouffville OLD ELM GO AM Peak,total_train_trips Stouffville OLD ELM GO AM Peak
2020-01-17,3430,5
2020-01-20,3974,5
2020-01-21,4239,5
2020-01-22,4172,5
2020-01-23,4136,5
2020-01-24,3339,5
2020-01-27,3969,5
2020-01-28,4018,5
2020-01-29,3950,5
2020-01-30,3947,5
2020-01-31,3312,5
2020-02-03,4032,5
2020-02-04,4163,5
2020-02-05,3998,5
2020-02-06,3715,5
2020-02-07,3288,5
2020-02-10,3939,5
2020-02-11,4132,5
2020-02-12,4056,5
2020-02-13,3964,5
2020-02-14,3126,5
2020-02-18,3768,5
2020-02-19,4059,5
2020-02-20,3989,5
2020-02-21,3317,5
2020-02-24,4065,5
2020-02-25,4207,5
2020-02-26,3852,5
2020-02-27,3415,5
2020-02-28,3478,5
2020-03-02,4094,5
2020-03-03,4099,5
2020-03-04,4026,5
2020-03-05,3958,5
2020-03-06,3404,5
2020-03-09,3632,5
2020-03-10,3662,5
2020-03-11,3618,5
2020-03-12,3277,5
2020-03-13,2347,5
2020-03-16,1049,5
2020-03-17,615,5
2020-03-18,394,5
2020-03-19,334,5
2020-03-20,257,5
2020-03-23,198,5
2020-03-24,158,5
2020-03-25,119,5
2020-03-26,109,5
2020-03-27,100,5
2020-03-30,101,5
2020-03-31,93,5
2020-04-01,89,5
2020-04-02,100,5
2020-04-03,85,5
2020-04-06,91,5
2020-04-07,79,5
2020-04-08,74,3
2020-04-09,73,3
2020-04-13,41,3
2020-04-14,69,3
2020-04-15,74,3
2020-04-16,58,3
2020-04-17,54,3
2020-04-20,67,3
2020-04-21,65,3
2020-04-22,73,3
2020-04-23,63,3
2020-04-24,62,3
2020-04-27,58,3
2020-04-28,54,3
2020-04-29,62,3
2020-04-30,62,3
2020-05-01,57,3
2020-05-04,69,3
2020-05-05,62,3
2020-05-06,67,3
2020-05-07,62,3
2020-05-08,62,3
2020-05-11,59,3
2020-05-12,60,3
2020-05-13,57,3
2020-05-14,62,3
2020-05-15,51,3
2020-05-19,71,3
2020-05-20,70,3
2020-05-21,62,3
2020-05-22,63,3
2020-05-25,75,3
2020-05-26,72,3
2020-05-27,71,3
2020-05-28,67,3
2020-05-29,70,3
2020-06-01,75,3
2020-06-02,60,3
2020-06-03,70,3
2020-06-04,78,3
2020-06-05,60,3
2020-06-08,76,3
2020-06-09,54,3
2020-06-10,51,3
2020-06-11,62,3
2020-06-12,51,3
2020-06-15,73,3
2020-06-16,72,3
2020-06-17,71,3
2020-06-18,73,3
2020-06-19,59,3
2020-06-22,76,3
2020-06-23,74,3
2020-06-24,73,3
2020-06-25,70,3
2020-06-26,70,3
2020-06-29,90,3
2020-06-30,81,3
2020-07-02,82,3
2020-07-03,76,3
2020-07-06,110,3
2020-07-07,97,3
2020-07-08,110,3
2020-07-09,110,3
2020-07-10,93,3
2020-07-13,110,3
2020-07-14,101,3
2020-07-15,101,3
2020-07-16,95,3
2020-07-17,104,3
2020-07-20,105,3
2020-07-21,111,3
2020-07-22,107,3
2020-07-23,97,3
2020-07-24,101,3
2020-07-27,119,3
2020-07-28,117,3
2020-07-29,110,3
2020-07-30,117,3
2020-07-31,106,3
2020-08-04,128,3
2020-08-05,136,3
2020-08-06,132,3
2020-08-07,123,3
2020-08-10,130,3
2020-08-11,135,3
2020-08-12,220,3
2020-08-13,220,3
2020-08-14,192,3
2020-08-17,222,3
2020-08-18,231,3
2020-08-19,243,3
2020-08-20,231,3
2020-08-21,183,3
2020-08-24,231,3
2020-08-25,213,3
2020-08-26,229,3
2020-08-27,216,3
2020-08-28,202,3
2020-08-31,241,3
2020-09-01,244,3
2020-09-02,265,3
2020-09-03,245,3
2020-09-04,200,3
2020-09-08,228,4
2020-09-09,259,4
2020-09-10,238,4
2020-09-11,202,4
2020-09-14,254,4
2020-09-15,266,4
2020-09-16,268,4
2020-09-17,264,4
2020-09-18,231,4
2020-09-21,270,4
2020-09-22,274,4
2020-09-23,278,4
2020-09-24,262,4
2020-09-25,220,4
2020-09-28,271,4
2020-09-29,268,4
2020-09-30,262,4
2020-10-01,263,4
2020-10-02,221,4
2020-10-05,257,4
2020-10-06,260,4
2020-10-07,233,4
2020-10-08,251,4
2020-10-09,202,4
2020-10-13,256,4
2020-10-14,253,4
2020-10-15,247,4
2020-10-16,221,4
2020-10-19,239,4
2020-10-20,272,4
2020-10-21,257,4
2020-10-22,237,4
2020-10-23,223,4
2020-10-26,250,4
2020-10-27,258,4
2020-10-28,243,4
2020-10-29,248,4
2020-10-30,221,4
2020-11-02,252,4
2020-11-03,267,4
2020-11-04,283,4
2020-11-05,264,4
2020-11-06,233,4
2020-11-09,274,4
2020-11-10,277,4
2020-11-11,210,4
2020-11-12,272,4
2020-11-13,212,4
2020-11-16,266,4
2020-11-17,267,4
2020-11-18,273,4
2020-11-19,255,4
2020-11-20,219,4
2020-11-23,231,4
2020-11-24,231,4
2020-11-25,220,4
2020-11-26,226,4
2020-11-27,184,4
2020-11-30,220,4
2020-12-01,231,4
2020-12-02,227,4
2020-12-03,224,4
2020-12-04,186,4
2020-12-07,209,4
2020-12-08,232,4
2020-12-09,215,4
2020-12-10,220,4
2020-12-11,193,4
2020-12-14,228,4
2020-12-15,233,4
2020-12-16,223,4
2020-12-17,227,4
2020-12-18,179,4
2020-12-21,176,4
2020-12-22,177,4
2020-12-23,164,4
2020-12-24,92,4
2020-12-28,6,1
2020-12-29,117,4
2020-12-30,121,4
2020-12-31,89,4
2021-01-04,209,4
2021-01-05,203,4
2021-01-06,192,4
2021-01-07,194,4
2021-01-08,158,4
