date,ridership Milton UNION STATION,total_train_trips Milton UNION STATION
2020-01-13,10468,10
2020-01-14,10454,10
2020-01-15,10198,10
2020-01-16,10044,10
2020-01-17,7332,10
2020-01-20,10063,10
2020-01-21,10486,10
2020-01-22,10314,10
2020-01-23,10114,10
2020-01-24,8565,10
2020-01-27,10176,10
2020-01-28,10172,10
2020-01-29,9885,10
2020-01-30,9764,10
2020-01-31,7963,10
2020-02-03,10078,10
2020-02-04,10053,10
2020-02-05,10104,10
2020-02-06,9018,9
2020-02-07,7961,10
2020-02-10,10032,10
2020-02-11,10106,10
2020-02-12,10090,10
2020-02-13,9592,10
2020-02-14,7004,10
2020-02-18,9703,10
2020-02-19,9804,10
2020-02-20,9574,10
2020-02-21,7641,10
2020-02-24,10206,10
2020-02-25,5627,5
2020-02-26,8357,10
2020-02-27,8817,10
2020-02-28,8148,10
2020-03-02,10249,10
2020-03-03,10155,10
2020-03-04,9922,10
2020-03-05,9806,10
2020-03-06,7971,10
2020-03-09,9397,10
2020-03-10,9333,10
2020-03-11,8967,10
2020-03-12,8033,10
2020-03-13,5284,10
2020-03-16,2351,10
2020-03-17,1332,10
2020-03-18,798,6
2020-03-19,589,6
2020-03-20,438,6
2020-03-23,353,6
2020-03-24,291,6
2020-03-25,236,6
2020-03-26,224,6
2020-03-27,181,6
2020-03-30,204,6
2020-03-31,205,6
2020-04-01,197,6
2020-04-02,187,6
2020-04-03,158,6
2020-04-06,158,6
2020-04-07,153,6
2020-04-08,153,4
2020-04-09,131,4
2020-04-13,95,4
2020-04-14,134,4
2020-04-15,130,4
2020-04-16,129,4
2020-04-17,114,4
2020-04-20,129,4
2020-04-21,124,4
2020-04-22,131,4
2020-04-23,133,4
2020-04-24,113,4
2020-04-27,135,4
2020-04-28,127,4
2020-04-29,127,4
2020-04-30,127,4
2020-05-01,121,4
2020-05-04,132,4
2020-05-05,132,4
2020-05-06,130,4
2020-05-07,124,4
2020-05-08,115,4
2020-05-11,120,4
2020-05-12,116,4
2020-05-13,129,4
2020-05-14,129,4
2020-05-15,106,4
2020-05-19,150,4
2020-05-20,149,4
2020-05-21,142,4
2020-05-22,126,4
2020-05-25,147,4
2020-05-26,155,4
2020-05-27,146,4
2020-05-28,138,4
2020-05-29,130,4
2020-06-01,166,4
2020-06-02,159,4
2020-06-03,179,4
2020-06-04,185,4
2020-06-05,138,4
2020-06-08,167,4
2020-06-09,179,4
2020-06-10,164,4
2020-06-11,202,4
2020-06-12,161,4
2020-06-15,204,4
2020-06-16,206,4
2020-06-17,193,4
2020-06-18,209,4
2020-06-19,197,4
2020-06-22,217,4
2020-06-23,211,4
2020-06-24,248,4
2020-06-25,229,4
2020-06-26,207,4
2020-06-29,245,4
2020-06-30,259,4
2020-07-02,248,4
2020-07-03,224,4
2020-07-06,294,4
2020-07-07,282,4
2020-07-08,288,4
2020-07-09,290,4
2020-07-10,245,4
2020-07-13,277,4
2020-07-14,305,4
2020-07-15,313,4
2020-07-16,294,4
2020-07-17,289,4
2020-07-20,238,4
2020-07-21,258,4
2020-07-22,250,4
2020-07-23,254,4
2020-07-24,221,4
2020-07-27,259,4
2020-07-28,273,4
2020-07-29,274,4
2020-07-30,272,4
2020-07-31,255,4
2020-08-04,288,4
2020-08-05,298,4
2020-08-06,319,4
2020-08-07,270,4
2020-08-10,301,4
2020-08-11,318,4
2020-08-12,435,4
2020-08-13,450,4
2020-08-14,364,4
2020-08-17,410,4
2020-08-18,468,4
2020-08-19,449,4
2020-08-20,435,4
2020-08-21,391,4
2020-08-24,427,4
2020-08-25,459,4
2020-08-26,484,4
2020-08-27,454,4
2020-08-28,444,4
2020-08-31,463,4
2020-09-01,488,4
2020-09-02,493,4
2020-09-03,510,4
2020-09-04,395,4
2020-09-08,531,5
2020-09-09,569,5
2020-09-10,549,5
2020-09-11,501,5
2020-09-14,557,5
2020-09-15,597,5
2020-09-16,591,5
2020-09-17,594,5
2020-09-18,516,5
2020-09-21,560,5
2020-09-22,588,5
2020-09-23,593,5
2020-09-24,587,5
2020-09-25,501,5
2020-09-28,561,5
2020-09-29,568,5
2020-09-30,582,5
2020-10-01,568,5
2020-10-02,525,5
2020-10-05,544,5
2020-10-06,571,5
2020-10-07,575,5
2020-10-08,579,5
2020-10-09,503,5
2020-10-13,484,5
2020-10-14,491,5
2020-10-15,501,4
2020-10-16,473,5
2020-10-19,524,5
2020-10-20,547,5
2020-10-21,528,5
2020-10-22,558,5
2020-10-23,487,5
2020-10-26,535,5
2020-10-27,561,5
2020-10-28,565,5
2020-10-29,565,5
2020-10-30,506,5
2020-11-02,547,5
2020-11-03,580,5
2020-11-04,575,5
2020-11-05,571,5
2020-11-06,515,5
2020-11-09,542,5
2020-11-10,582,5
2020-11-11,454,5
2020-11-12,560,5
2020-11-13,491,5
2020-11-16,532,5
2020-11-17,559,5
2020-11-18,540,5
2020-11-19,542,5
2020-11-20,507,5
2020-11-23,454,5
2020-11-24,485,5
2020-11-25,470,5
2020-11-26,491,5
2020-11-27,419,5
2020-11-30,468,5
2020-12-01,509,5
2020-12-02,515,5
2020-12-03,471,5
2020-12-04,440,5
2020-12-07,472,5
2020-12-08,476,5
2020-12-09,507,5
2020-12-10,487,5
2020-12-11,417,5
2020-12-14,445,5
2020-12-15,482,5
2020-12-16,478,5
2020-12-17,454,5
2020-12-18,416,5
2020-12-21,393,5
2020-12-22,399,5
2020-12-23,342,5
2020-12-24,145,5
2020-12-29,261,4
2020-12-30,248,5
2020-12-31,171,5
2021-01-04,410,5
2021-01-05,415,5
2021-01-06,421,5
2021-01-07,400,5
2021-01-08,380,5
2021-01-11,423,5
2021-01-12,419,5
2021-01-13,417,5
2021-01-14,379,5
2021-01-15,335,5
2021-01-18,355,5
2021-01-19,368,5
2021-01-20,349,4
2021-01-21,353,5
2021-01-22,341,5
2021-01-25,362,5
2021-01-26,387,5
2021-01-27,358,5
2021-01-28,363,5
2021-01-29,349,5
2021-02-01,351,5
2021-02-02,361,5
2021-02-03,381,5
2021-02-04,369,5
2021-02-05,343,5
2021-02-08,370,5
2021-02-09,384,5
2021-02-10,388,5
2021-02-11,395,5
2021-02-12,340,5
2021-02-16,358,5
2021-02-17,401,5
2021-02-18,426,5
2021-02-19,382,5
2021-02-22,419,5
2021-02-23,395,5
2021-02-24,401,5
2021-02-25,410,5
2021-02-26,389,5
2021-03-01,400,5
2021-03-02,400,5
2021-03-03,412,5
2021-03-04,422,5
2021-03-05,375,5
2021-03-08,432,5
2021-03-09,444,5
2021-03-10,442,5
2021-03-11,457,5
2021-03-12,383,5
2021-03-15,418,5
2021-03-16,445,5
2021-03-17,453,5
2021-03-18,443,5
