date,ridership Lakeshore West HAMILTON GO CENTRE AM Peak,total_train_trips Lakeshore West HAMILTON GO CENTRE AM Peak
2020-01-16,4286,4
2020-01-17,3613,4
2020-01-20,3542,3
2020-01-21,4428,4
2020-01-22,4467,4
2020-01-23,4301,4
2020-01-24,3674,4
2020-01-27,4367,4
2020-01-28,4401,4
2020-01-29,4309,4
2020-01-30,4224,4
2020-01-31,3449,4
2020-02-03,4095,4
2020-02-04,4870,4
2020-02-05,4175,4
2020-02-06,5763,4
2020-02-07,3454,4
2020-02-10,4065,4
2020-02-11,4233,4
2020-02-12,4168,4
2020-02-13,3659,3
2020-02-14,2949,4
2020-02-18,4737,4
2020-02-19,4241,4
2020-02-20,4235,4
2020-02-21,3956,4
2020-02-24,4272,4
2020-02-26,3780,4
2020-02-27,3670,4
2020-02-28,3450,4
2020-03-02,4298,4
2020-03-03,5630,3
2020-03-04,4200,4
2020-03-05,4137,4
2020-03-06,3463,4
2020-03-09,3878,4
2020-03-10,3915,4
2020-03-11,3730,4
2020-03-12,3295,4
2020-03-13,2169,4
2020-03-16,1006,4
2020-03-17,592,4
2020-03-18,272,2
2020-03-19,218,2
2020-03-20,167,2
2020-03-23,124,2
2020-03-24,108,2
2020-03-25,74,2
2020-03-26,85,2
2020-03-27,60,2
2020-03-30,62,2
2020-03-31,71,2
2020-04-01,56,2
2020-04-02,56,2
2020-04-03,61,2
2020-04-06,49,2
2020-04-07,58,2
2020-04-08,98,2
2020-04-09,92,2
2020-04-13,72,2
2020-04-14,108,2
2020-04-15,94,2
2020-04-16,93,2
2020-04-17,76,2
2020-04-20,97,2
2020-04-21,94,2
2020-04-22,93,2
2020-04-23,125,2
2020-04-24,76,2
2020-04-27,103,2
2020-04-28,87,2
2020-04-29,79,2
2020-04-30,86,2
2020-05-01,74,2
2020-05-04,91,2
2020-05-05,86,2
2020-05-06,84,2
2020-05-07,84,2
2020-05-08,87,2
2020-05-11,95,2
2020-05-12,103,2
2020-05-13,95,2
2020-05-14,91,2
2020-05-15,92,2
2020-05-19,124,2
2020-05-20,116,2
2020-05-21,109,2
2020-05-22,102,2
2020-05-25,107,2
2020-05-26,105,2
2020-05-27,115,2
2020-05-28,110,2
2020-05-29,101,2
2020-06-01,136,2
2020-06-02,140,2
2020-06-03,128,2
2020-06-04,141,2
2020-06-05,130,2
2020-06-08,133,2
2020-06-09,148,2
2020-06-10,124,2
2020-06-11,144,2
2020-06-12,125,2
2020-06-15,148,2
2020-06-16,161,2
2020-06-17,139,2
2020-06-18,163,2
2020-06-19,126,2
2020-06-22,167,2
2020-06-23,181,2
2020-06-24,169,2
2020-06-25,178,2
2020-06-26,156,2
2020-06-29,193,2
2020-06-30,204,2
2020-07-02,208,2
2020-07-03,168,2
2020-07-06,254,2
2020-07-07,262,2
2020-07-08,222,2
2020-07-09,235,2
2020-07-10,219,2
2020-07-13,253,2
2020-07-14,260,2
2020-07-15,256,2
2020-07-16,245,2
2020-07-17,203,2
2020-07-20,244,2
2020-07-21,274,2
2020-07-22,257,2
2020-07-23,277,2
2020-07-24,230,2
2020-07-27,270,2
2020-07-28,276,2
2020-07-29,266,2
2020-07-30,274,2
2020-07-31,211,2
2020-08-04,274,2
2020-08-05,305,2
2020-08-06,314,2
2020-08-07,272,2
2020-08-10,299,2
2020-08-11,329,2
2020-08-12,359,2
2020-08-13,340,2
2020-08-14,278,2
2020-08-17,345,2
2020-08-18,373,2
2020-08-19,371,2
2020-08-20,367,2
2020-08-21,295,2
2020-08-24,336,2
2020-08-25,373,2
2020-08-26,375,2
2020-08-27,382,2
2020-08-28,157,1
2020-08-31,379,2
2020-09-01,392,2
2020-09-02,416,2
2020-09-03,374,2
2020-09-04,302,2
2020-09-08,295,2
2020-09-09,260,2
2020-09-10,253,2
2020-09-11,217,2
2020-09-14,237,2
2020-09-15,274,2
2020-09-16,257,2
2020-09-17,264,2
