date,ridership Lakeshore West,total_train_trips Lakeshore West
2022-07-22,16757,78
2022-07-23,24530,80
2022-07-24,11091,80
2022-07-25,15002,80
2022-07-26,24265,81
2022-07-27,26409,81
2022-07-28,21656,80
2022-07-29,18942,81
2022-07-30,38618,101
2022-07-31,22495,80
2022-08-01,9435,80
2022-08-02,18705,79
2022-08-03,19332,80
2022-08-04,17292,77
2022-08-05,14959,76
2022-08-06,23684,74
2022-08-07,14025,80
2022-08-08,18809,75
2022-08-09,19389,81
2022-08-10,20972,79
2022-08-11,19736,80
2022-08-12,21281,80
2022-08-13,33808,80
2022-08-14,20487,81
2022-08-15,20239,74
2022-08-16,27976,78
2022-08-17,31136,78
2022-08-18,21403,78
2022-08-19,28508,78
2022-08-20,38515,80
2022-08-21,25344,80
2022-08-22,24826,80
2022-08-23,30179,79
2022-08-24,34773,80
2022-08-25,27347,80
2022-08-26,36220,77
2022-08-27,57369,80
2022-08-28,42325,81
2022-08-29,27668,78
2022-08-30,29889,112
2022-08-31,43217,78
2022-09-01,37375,79
2022-09-02,30544,80
2022-09-03,43725,80
2022-09-04,43037,80
2022-09-05,24429,80
2022-09-06,21987,78
2022-09-07,27636,79
2022-09-08,29683,78
2022-09-09,25669,75
2022-09-10,23327,81
2022-09-11,16480,80
2022-09-12,20221,78
2022-09-13,27500,79
2022-09-14,27447,79
2022-09-15,26830,79
2022-09-16,22319,79
2022-09-17,27787,80
2022-09-18,17819,80
2022-09-19,18096,78
2022-09-20,25418,79
2022-09-21,25178,79
2022-09-22,29236,79
2022-09-23,25375,78
2022-09-24,18735,80
2022-09-25,9479,81
2022-09-26,20369,76
2022-09-27,26758,78
2022-09-28,29538,79
2022-09-29,23897,78
2022-09-30,25419,79
2022-10-01,28210,81
2022-10-02,21328,82
2022-10-03,18992,80
2022-10-04,23394,79
2022-10-05,26617,79
2022-10-06,25051,78
2022-10-07,23328,78
2022-10-08,25524,81
2022-10-09,14038,80
2022-10-10,9397,80
2022-10-11,23016,80
2022-10-12,26129,80
2022-10-13,25387,80
2022-10-14,17473,80
2022-10-15,12460,47
2022-10-16,10331,42
2022-10-17,19937,80
2022-10-18,23729,79
2022-10-19,26372,79
2022-10-20,25575,80
2022-10-21,18513,78
2022-10-22,14552,77
2022-10-24,18877,79
2022-10-25,23704,79
2022-10-26,25548,79
2022-10-27,24491,80
2022-10-28,19192,80
2022-10-29,15292,40
2022-10-30,8070,42
2022-10-31,17757,83
2022-11-01,23169,84
2022-11-02,27554,84
2022-11-03,23955,84
2022-11-04,18806,84
2022-11-05,16864,77
2022-11-06,3034,22
2022-11-07,19862,81
2022-11-08,26434,84
2022-11-09,26721,83
2022-11-10,26212,84
2022-11-11,18952,84
2022-11-12,16009,79
2022-11-13,13801,78
2022-11-14,18901,84
2022-11-15,24763,84
2022-11-16,24495,84
2022-11-17,24431,84
2022-11-18,17282,84
2022-11-19,13112,79
2022-11-20,9573,79
2022-11-21,18687,84
2022-11-22,23172,83
2022-11-23,24789,83
2022-11-24,23419,83
2022-11-25,20150,84
2022-11-26,15182,85
2022-11-27,8306,79
2022-11-28,19298,84
2022-11-29,24060,84
2022-11-30,25485,83
2022-12-01,25512,84
2022-12-02,19941,84
2022-12-03,13383,78
2022-12-04,9280,78
2022-12-05,19006,92
2022-12-06,23137,90
2022-12-07,26192,91
2022-12-08,26544,90
2022-12-09,19565,91
2022-12-10,14973,80
2022-12-11,9243,79
2022-12-12,19083,91
2022-12-13,24834,87
2022-12-14,26171,90
2022-12-15,17191,84
2022-12-16,18182,85
2022-12-17,13272,79
2022-12-18,10080,77
2022-12-19,15668,91
2022-12-20,22118,91
2022-12-21,19439,89
2022-12-22,18544,89
2022-12-23,7950,81
2022-12-24,6680,78
2022-12-25,5023,78
2022-12-26,7157,78
2022-12-27,10672,78
2022-12-28,11942,92
2022-12-29,13565,90
2022-12-30,14064,91
2022-12-31,8579,79
