date,ridership Richmond Hill,total_train_trips Richmond Hill
2020-01-21,8658,12
2020-01-22,8329,12
2020-01-23,8247,12
2020-01-24,6617,12
2020-01-27,8165,12
2020-01-28,8230,12
2020-01-29,7981,12
2020-01-30,7922,12
2020-01-31,6488,12
2020-02-03,8373,12
2020-02-04,8371,12
2020-02-05,8207,12
2020-02-06,7357,12
2020-02-07,6595,12
2020-02-10,8347,12
2020-02-11,8255,12
2020-02-12,8174,12
2020-02-13,7956,12
2020-02-14,5783,12
2020-02-18,8221,12
2020-02-19,8312,12
2020-02-20,8282,12
2020-02-21,6559,12
2020-02-24,8638,12
2020-02-25,8583,12
2020-02-26,7811,12
2020-02-27,6979,12
2020-02-28,7039,12
2020-03-02,8508,12
2020-03-03,8444,12
2020-03-04,8216,12
2020-03-05,7833,12
2020-03-06,6848,12
2020-03-09,7818,12
2020-03-10,7630,12
2020-03-11,7291,12
2020-03-12,6619,12
2020-03-13,4266,12
2020-03-16,1721,12
2020-03-17,943,12
2020-03-18,537,10
2020-03-19,393,10
2020-03-20,315,10
2020-03-23,252,10
2020-03-24,194,10
2020-03-25,131,10
2020-03-26,128,10
2020-03-27,125,10
2020-03-30,133,10
2020-03-31,113,10
2020-04-01,101,10
2020-04-02,99,10
2020-04-03,92,10
2020-04-06,86,10
2020-04-07,79,10
2020-04-08,76,6
2020-04-09,68,6
2020-04-13,48,6
2020-04-14,73,6
2020-04-15,68,6
2020-04-16,74,6
2020-04-17,65,6
2020-04-20,66,6
2020-04-21,65,6
2020-04-22,66,6
2020-04-23,57,6
2020-04-24,64,6
2020-04-27,60,6
2020-04-28,56,6
2020-04-29,58,6
2020-04-30,60,6
2020-05-01,63,6
2020-05-04,67,6
2020-05-05,56,6
2020-05-06,63,6
2020-05-07,66,6
2020-05-08,52,6
2020-05-11,51,6
2020-05-12,50,6
2020-05-13,59,6
2020-05-14,54,6
2020-05-15,53,6
2020-05-19,73,6
2020-05-20,62,5
2020-05-21,74,6
2020-05-22,66,6
2020-05-25,67,6
2020-05-26,79,6
2020-05-27,75,6
2020-05-28,75,6
2020-05-29,75,6
2020-06-01,87,6
2020-06-02,96,6
2020-06-03,88,6
2020-06-04,82,6
2020-06-05,58,6
2020-06-08,62,6
2020-06-09,67,6
2020-06-10,75,6
2020-06-11,73,6
2020-06-12,56,6
2020-06-15,67,6
2020-06-16,75,6
2020-06-17,69,6
2020-06-18,82,6
2020-06-19,72,6
2020-06-22,64,6
2020-06-23,82,6
2020-06-24,71,6
2020-06-25,95,6
2020-06-26,67,6
2020-06-29,82,6
2020-06-30,91,6
2020-07-02,93,6
2020-07-03,73,6
2020-07-06,99,6
2020-07-07,107,6
2020-07-08,100,6
2020-07-09,113,6
2020-07-10,84,6
2020-07-13,103,6
2020-07-14,112,6
2020-07-15,111,6
2020-07-16,115,6
2020-07-17,102,6
2020-07-20,47,4
2020-07-21,111,6
2020-07-22,97,6
2020-07-23,120,6
2020-07-24,86,6
2020-07-27,106,6
2020-07-28,115,6
2020-07-29,106,6
2020-07-30,105,6
2020-07-31,97,6
2020-08-04,83,4
2020-08-05,139,6
2020-08-06,123,6
2020-08-07,108,6
2020-08-10,124,6
2020-08-11,136,6
2020-08-12,211,6
2020-08-13,222,6
2020-08-14,168,6
2020-08-17,221,6
2020-08-18,246,6
2020-08-19,223,6
2020-08-20,235,6
2020-08-21,190,6
2020-08-24,201,6
2020-08-25,235,6
2020-08-26,230,6
2020-08-27,226,6
2020-08-28,202,6
2020-08-31,208,6
2020-09-01,234,6
2020-09-02,235,6
2020-09-03,233,6
2020-09-04,187,6
2020-09-08,283,8
2020-09-09,297,8
2020-09-10,292,8
2020-09-11,252,8
2020-09-14,281,8
2020-09-15,312,8
2020-09-16,285,8
2020-09-17,301,8
2020-09-18,256,8
2020-09-21,299,8
2020-09-22,325,8
2020-09-23,297,8
2020-09-24,318,8
2020-09-25,252,8
2020-09-28,284,8
2020-09-29,304,8
2020-09-30,294,8
2020-10-01,304,8
2020-10-02,248,8
2020-10-05,252,8
2020-10-06,304,8
2020-10-07,294,8
2020-10-08,285,8
2020-10-09,226,8
2020-10-13,279,8
2020-10-14,245,8
2020-10-15,275,8
2020-10-16,253,8
2020-10-19,254,8
2020-10-20,286,8
2020-10-21,269,8
2020-10-22,290,8
2020-10-23,257,8
2020-10-26,264,8
2020-10-27,274,8
2020-10-28,280,8
2020-10-29,277,8
2020-10-30,237,8
2020-11-02,207,6
2020-11-03,308,8
2020-11-04,269,8
2020-11-05,295,8
2020-11-06,261,8
2020-11-09,263,8
2020-11-10,289,8
2020-11-11,236,8
2020-11-12,281,8
2020-11-13,225,8
2020-11-16,254,8
2020-11-17,276,8
2020-11-18,265,8
2020-11-19,321,8
2020-11-20,214,8
2020-11-23,203,8
2020-11-24,245,8
2020-11-25,237,8
2020-11-26,252,8
2020-11-27,183,8
2020-11-30,223,8
2020-12-01,180,6
2020-12-02,244,8
2020-12-03,260,8
2020-12-04,213,8
2020-12-07,223,8
2020-12-08,239,8
2020-12-09,238,8
2020-12-10,249,8
2020-12-11,191,8
2020-12-14,210,8
2020-12-15,235,8
2020-12-16,251,8
2020-12-17,231,8
2020-12-18,193,8
2020-12-21,185,8
2020-12-22,192,8
2020-12-23,160,8
2020-12-24,62,8
2020-12-29,122,8
2020-12-30,130,8
2020-12-31,79,8
2021-01-04,200,8
2021-01-05,214,8
2021-01-06,208,8
2021-01-07,210,8
2021-01-08,173,8
2021-01-11,205,8
2021-01-12,241,8
2021-01-13,211,8
2021-01-14,193,8
2021-01-15,157,8
2021-01-18,188,8
2021-01-19,202,8
2021-01-20,192,8
2021-01-21,207,8
2021-01-22,166,8
2021-01-25,195,8
2021-01-26,202,8
2021-01-27,185,8
2021-01-28,213,8
2021-01-29,168,8
2021-02-01,189,8
2021-02-02,200,8
2021-02-03,170,8
2021-02-04,195,8
2021-02-05,157,8
2021-02-08,174,8
2021-02-09,206,8
2021-02-10,189,8
2021-02-11,201,8
2021-02-12,150,8
2021-02-16,187,8
2021-02-17,193,8
2021-02-18,202,8
2021-02-19,182,8
2021-02-22,184,8
2021-02-23,212,8
2021-02-24,194,8
2021-02-25,213,8
2021-02-26,172,8
2021-03-01,204,8
2021-03-02,204,8
2021-03-03,218,8
2021-03-04,217,8
2021-03-05,177,8
2021-03-08,204,8
2021-03-09,215,8
2021-03-10,226,8
2021-03-11,235,8
2021-03-12,188,8
2021-03-15,203,8
2021-03-16,226,8
2021-03-17,236,8
2021-03-18,230,8
2021-03-19,180,8
2021-03-22,204,8
2021-03-23,234,8
2021-03-24,227,8
2021-03-25,238,8
2021-03-26,173,8
2021-03-29,231,8
2021-03-30,258,8
2021-03-31,258,8
2021-04-01,242,8
2021-04-05,174,8
2021-04-06,252,8
2021-04-07,226,7
2021-04-08,216,8
2021-04-09,181,8
2021-04-12,184,8
2021-04-13,206,8
2021-04-14,198,8
2021-04-15,203,8
2021-04-16,146,8
2021-04-19,147,7
2021-04-20,183,8
2021-04-21,169,8
2021-04-22,191,8
2021-04-23,159,8
2021-04-26,177,8
2021-04-27,184,8
2021-04-28,166,8
2021-04-29,192,8
2021-04-30,149,8
2021-05-03,199,8
2021-05-04,199,8
2021-05-05,192,8
2021-05-06,211,8
2021-05-07,160,8
2021-05-10,186,8
