date,ridership Lakeshore East UNION STATION,total_train_trips Lakeshore East UNION STATION
2022-07-14,7803,41
2022-07-15,6790,41
2022-07-16,6339,34
2022-07-17,5751,37
2022-07-18,5490,41
2022-07-19,7279,40
2022-07-20,7683,40
2022-07-21,7455,40
2022-07-22,5708,37
2022-07-23,5571,31
2022-07-24,3058,32
2022-07-25,5821,41
2022-07-26,8353,41
2022-07-27,8967,41
2022-07-28,7725,41
2022-07-29,6297,41
2022-07-30,8672,37
2022-07-31,5838,37
2022-08-01,2818,37
2022-08-02,6746,41
2022-08-03,7309,41
2022-08-04,6571,39
2022-08-05,5467,38
2022-08-06,5307,32
2022-08-07,3721,36
2022-08-08,6782,39
2022-08-09,7597,40
2022-08-10,7793,41
2022-08-11,7240,41
2022-08-12,6720,41
2022-08-13,7558,37
2022-08-14,5538,37
2022-08-15,6936,39
2022-08-16,9238,41
2022-08-17,9784,41
2022-08-18,7738,41
2022-08-19,7659,41
2022-08-20,7910,36
2022-08-21,5595,37
2022-08-22,7277,40
2022-08-23,9363,41
2022-08-24,10147,41
2022-08-25,8655,41
2022-08-26,8922,40
2022-08-27,11682,37
2022-08-28,9191,37
2022-08-29,8155,41
2022-08-30,9341,41
2022-08-31,11312,41
2022-09-01,10218,41
2022-09-02,8065,41
2022-09-03,8504,37
2022-09-04,7569,37
2022-09-05,5547,37
2022-09-06,7865,41
2022-09-07,9375,41
2022-09-08,10311,41
2022-09-09,7871,40
2022-09-10,5003,38
2022-09-11,3577,37
2022-09-12,7921,41
2022-09-13,10501,41
2022-09-14,10132,40
2022-09-15,9906,41
2022-09-16,7721,41
2022-09-17,6697,37
2022-09-18,4643,36
2022-09-19,7176,40
2022-09-20,9751,41
2022-09-21,9636,41
2022-09-22,10000,41
2022-09-23,7351,38
2022-09-26,7593,41
2022-09-27,9964,41
2022-09-28,10354,41
2022-09-29,9132,41
2022-09-30,7522,41
2022-10-01,7118,37
2022-10-02,5619,37
2022-10-03,7578,41
2022-10-04,9212,41
2022-10-05,9901,41
2022-10-06,9264,41
2022-10-07,8185,41
2022-10-08,5680,37
2022-10-09,3871,37
2022-10-10,2269,37
2022-10-11,8651,41
2022-10-12,9507,41
2022-10-13,8844,41
2022-10-14,6309,41
2022-10-15,3426,39
2022-10-16,2876,37
2022-10-17,7602,41
2022-10-18,9446,41
2022-10-19,9757,41
2022-10-20,9205,41
2022-10-21,6695,40
2022-10-22,3906,37
2022-10-23,2316,37
2022-10-24,7201,41
2022-10-25,9234,41
2022-10-26,9520,41
2022-10-27,8953,41
2022-10-28,6770,41
2022-10-29,4016,37
2022-10-30,2579,37
2022-10-31,6974,41
2022-11-01,8997,41
2022-11-02,10060,41
2022-11-03,8828,41
2022-11-04,6595,41
2022-11-05,4134,37
2022-11-06,2655,34
2022-11-07,7079,41
2022-11-08,9481,41
2022-11-09,9498,41
2022-11-10,8943,41
2022-11-11,6026,42
2022-11-12,3384,19
2022-11-13,2848,19
2022-11-14,7268,41
2022-11-15,9669,41
2022-11-16,9196,41
2022-11-17,9038,41
2022-11-18,6492,41
2022-11-19,3456,37
2022-11-20,2792,36
2022-11-21,7172,41
2022-11-22,9122,41
2022-11-23,9523,41
2022-11-24,8668,41
2022-11-25,6478,41
2022-11-26,3411,22
2022-11-27,2142,19
2022-11-28,7353,41
2022-11-29,9219,41
2022-11-30,9218,41
2022-12-01,9021,41
2022-12-02,6747,41
2022-12-03,3477,37
2022-12-04,2746,37
2022-12-05,7408,41
2022-12-06,8884,41
2022-12-07,9668,41
2022-12-08,9229,41
2022-12-09,6721,41
2022-12-10,4100,37
2022-12-11,2873,37
2022-12-12,7180,41
2022-12-13,9457,41
2022-12-14,9658,40
2022-12-15,6561,41
2022-12-16,5950,41
2022-12-17,3696,37
2022-12-18,2912,37
2022-12-19,5981,40
2022-12-20,8146,41
2022-12-21,7407,41
2022-12-22,6500,41
2022-12-23,3281,40
2022-12-24,2794,37
2022-12-25,1949,37
2022-12-26,2483,37
2022-12-27,3132,37
2022-12-28,4238,41
2022-12-29,4604,41
2022-12-30,4421,41
2022-12-31,1860,35
