date,ridership Stouffville UNION STATION Evening,total_train_trips Stouffville UNION STATION Evening
2020-01-22,1815,7
2020-01-23,1745,7
2020-01-24,1266,7
2020-01-27,1602,7
2020-01-28,1688,7
2020-01-29,1715,7
2020-01-30,1768,7
2020-01-31,1435,7
2020-02-03,1710,7
2020-02-04,1765,7
2020-02-05,1758,7
2020-02-06,1670,7
2020-02-07,1455,7
2020-02-10,1688,7
2020-02-11,1759,7
2020-02-12,1734,7
2020-02-13,1807,7
2020-02-14,1106,6
2020-02-18,1571,7
2020-02-19,1664,7
2020-02-20,1756,7
2020-02-21,1428,7
2020-02-24,1614,7
2020-02-25,1806,7
2020-02-26,1575,7
2020-02-27,1619,7
2020-02-28,1487,7
2020-03-02,1672,7
2020-03-03,1706,7
2020-03-04,1675,7
2020-03-05,1777,7
2020-03-06,1350,7
2020-03-09,1549,7
2020-03-10,1591,7
2020-03-11,1586,7
2020-03-12,1411,7
2020-03-13,959,7
2020-03-16,349,7
2020-03-17,192,7
2020-03-18,156,4
2020-03-19,108,4
2020-03-20,95,4
2020-03-23,72,4
2020-03-24,60,4
2020-03-25,42,4
2020-03-26,37,4
2020-03-27,49,4
2020-03-30,32,4
2020-03-31,33,4
2020-04-01,25,4
2020-04-02,29,4
2020-04-03,27,4
2020-04-06,24,4
2020-04-07,27,4
2020-04-08,25,3
2020-04-09,23,3
2020-04-13,17,2
2020-04-14,17,3
2020-04-15,22,2
2020-04-16,14,3
2020-04-17,23,3
2020-04-20,21,3
2020-04-21,19,2
2020-04-22,18,2
2020-04-23,18,3
2020-04-24,18,3
2020-04-27,23,3
2020-04-28,17,3
2020-04-29,7,1
2020-04-30,21,2
2020-05-01,27,3
2020-05-04,28,3
2020-05-05,19,2
2020-05-06,23,3
2020-05-07,18,3
2020-05-08,22,2
2020-05-11,21,3
2020-05-12,19,3
2020-05-13,24,3
2020-05-14,23,3
2020-05-15,18,3
2020-05-19,24,2
2020-05-20,24,3
2020-05-21,18,2
2020-05-22,30,3
2020-05-25,28,3
2020-05-26,29,3
2020-05-27,26,3
2020-05-28,28,3
2020-05-29,33,2
2020-06-01,30,3
2020-06-02,25,3
2020-06-03,23,3
2020-06-04,23,3
2020-06-05,25,3
2020-06-08,33,2
2020-06-09,26,3
2020-06-10,22,3
2020-06-11,36,3
2020-06-12,25,2
2020-06-15,39,3
2020-06-16,42,3
2020-06-17,35,3
2020-06-18,34,3
2020-06-19,43,3
2020-06-22,32,3
2020-06-23,31,3
2020-06-24,38,3
2020-06-25,48,3
2020-06-26,54,3
2020-06-29,39,3
2020-06-30,50,3
2020-07-02,53,3
2020-07-03,43,3
2020-07-06,53,3
2020-07-07,38,3
2020-07-08,45,3
2020-07-09,49,3
2020-07-10,53,3
2020-07-13,53,3
2020-07-14,47,3
2020-07-15,53,3
2020-07-16,45,3
2020-07-17,58,3
2020-07-20,53,3
2020-07-21,55,3
2020-07-22,45,3
2020-07-23,57,3
2020-07-24,55,3
2020-07-27,49,3
2020-07-28,45,3
2020-07-29,51,3
2020-07-30,51,3
2020-07-31,54,3
2020-08-04,57,3
2020-08-05,71,3
2020-08-06,70,3
2020-08-07,54,2
2020-08-10,54,3
2020-08-11,56,3
2020-08-12,95,3
2020-08-13,72,3
2020-08-14,80,2
2020-08-17,78,3
2020-08-18,100,3
2020-08-19,101,3
2020-08-20,103,3
2020-08-21,93,3
2020-08-24,74,3
2020-08-25,89,3
2020-08-26,99,3
2020-08-27,101,3
2020-08-28,113,3
2020-08-31,108,3
2020-09-01,106,3
2020-09-02,107,3
2020-09-03,115,3
2020-09-04,106,3
2020-09-08,125,6
2020-09-09,135,6
2020-09-10,138,6
2020-09-11,134,6
2020-09-14,105,6
2020-09-15,139,6
2020-09-16,147,6
2020-09-17,130,6
2020-09-18,133,6
2020-09-21,121,6
2020-09-22,131,6
2020-09-23,122,6
2020-09-24,122,6
2020-09-25,138,6
2020-09-28,114,6
2020-09-29,124,6
2020-09-30,126,5
2020-10-01,133,6
2020-10-02,111,6
2020-10-05,113,6
2020-10-06,113,6
2020-10-07,108,6
2020-10-08,127,6
2020-10-09,103,6
2020-10-13,106,6
2020-10-14,104,6
2020-10-15,111,6
2020-10-16,90,3
2020-10-19,93,6
2020-10-20,102,6
2020-10-21,95,6
2020-10-22,109,6
2020-10-23,105,6
2020-10-26,98,6
2020-10-27,105,6
2020-10-28,115,6
2020-10-29,103,6
2020-10-30,120,6
2020-11-02,107,6
2020-11-03,107,6
2020-11-04,110,6
2020-11-05,106,6
2020-11-06,99,6
2020-11-09,111,6
2020-11-10,122,6
2020-11-11,93,6
2020-11-12,119,6
2020-11-13,108,6
2020-11-16,92,6
2020-11-17,109,6
2020-11-18,117,6
2020-11-19,179,6
2020-11-20,96,6
2020-11-23,76,6
2020-11-24,95,6
2020-11-25,74,6
2020-11-26,89,6
2020-11-27,91,6
2020-11-30,79,6
2020-12-01,101,6
2020-12-02,87,6
2020-12-03,91,6
2020-12-04,89,6
2020-12-07,83,6
2020-12-08,89,6
2020-12-09,80,6
2020-12-10,88,6
2020-12-11,80,3
2020-12-14,87,6
2020-12-15,84,6
2020-12-16,82,6
2020-12-17,81,6
2020-12-18,74,6
2020-12-21,87,6
2020-12-22,80,6
2020-12-23,82,6
2020-12-24,31,6
2020-12-28,21,6
2020-12-29,50,6
2020-12-30,54,6
2020-12-31,35,5
2021-01-04,79,6
2021-01-05,73,6
2021-01-06,74,6
2021-01-07,75,6
2021-01-08,70,6
2021-01-11,61,6
2021-01-12,71,5
2021-01-13,77,6
2021-01-14,74,6
2021-01-15,62,6
2021-01-18,64,5
2021-01-19,64,6
2021-01-20,63,6
2021-01-21,58,6
2021-01-22,54,3
2021-01-25,37,1
2021-01-26,36,1
2021-01-27,38,1
2021-01-28,41,1
2021-01-29,37,1
2021-02-01,36,1
2021-02-02,39,1
2021-02-03,36,1
2021-02-04,45,1
2021-02-05,37,1
2021-02-08,36,1
2021-02-09,40,1
2021-02-10,44,1
2021-02-11,38,1
2021-02-12,40,1
2021-02-16,39,1
2021-02-17,38,1
2021-02-18,35,1
2021-02-19,36,1
2021-02-22,41,1
2021-02-23,37,1
2021-02-24,45,1
2021-02-25,39,1
2021-02-26,36,1
2021-03-01,42,1
2021-03-02,37,1
2021-03-03,39,1
2021-03-04,47,1
2021-03-05,45,1
2021-03-08,42,1
2021-03-09,41,1
2021-03-10,38,1
2021-03-11,48,1
2021-03-12,49,1
2021-03-15,45,1
2021-03-16,51,1
2021-03-17,43,1
2021-03-18,58,1
2021-03-19,43,1
2021-03-22,53,1
2021-03-23,53,1
2021-03-24,54,1
2021-03-25,55,1
2021-03-26,43,1
2021-03-29,46,1
2021-03-30,49,1
2021-03-31,54,1
2021-04-01,57,1
2021-04-05,32,1
2021-04-06,45,1
2021-04-07,49,1
2021-04-08,49,1
2021-04-09,43,1
2021-04-12,35,1
2021-04-13,39,1
2021-04-14,31,1
2021-04-15,46,1
2021-04-16,39,1
2021-04-19,37,1
2021-04-20,42,1
2021-04-21,37,1
2021-04-22,39,1
2021-04-23,38,1
2021-04-26,39,1
2021-04-27,35,1
2021-04-28,43,1
2021-04-29,38,1
2021-04-30,39,1
2021-05-03,40,1
2021-05-04,40,1
2021-05-05,38,1
2021-05-06,42,1
2021-05-07,41,1
2021-05-10,44,1
2021-05-11,45,1
2021-05-12,44,1
2021-05-13,39,1
2021-05-14,36,1
2021-05-17,42,1
2021-05-18,47,1
2021-05-19,45,1
2021-05-20,49,1
2021-05-21,35,1
2021-05-25,38,1
2021-05-26,51,1
2021-05-27,51,1
2021-05-28,36,1
2021-05-31,38,1
2021-06-01,52,1
2021-06-02,54,1
2021-06-03,46,1
2021-06-04,44,1
2021-06-07,43,1
2021-06-08,49,1
2021-06-09,42,1
2021-06-10,52,1
2021-06-11,31,1
2021-06-14,49,1
2021-06-15,50,1
2021-06-16,48,1
2021-06-17,49,1
2021-06-18,51,1
2021-06-21,42,1
2021-06-22,49,1
2021-06-23,62,1
2021-06-24,61,1
2021-06-25,54,1
2021-06-28,47,1
2021-06-29,60,1
2021-06-30,64,1
2021-07-02,40,1
2021-07-05,70,1
2021-07-06,58,1
2021-07-07,59,1
2021-07-08,64,1
2021-07-09,51,1
2021-07-12,58,1
2021-07-13,62,1
2021-07-14,56,1
2021-07-15,71,1
2021-07-16,63,1
2021-07-19,64,1
2021-07-20,70,1
2021-07-21,86,1
2021-07-22,82,1
