date,ridership Milton,total_train_trips Milton
2020-01-13,21071,20
2020-01-14,21332,20
2020-01-15,20728,20
2020-01-16,20658,20
2020-01-17,14296,19
2020-01-20,20347,20
2020-01-21,21364,20
2020-01-22,22241,20
2020-01-23,20819,20
2020-01-24,17570,20
2020-01-27,20642,20
2020-01-28,20871,20
2020-01-29,20149,20
2020-01-30,20114,20
2020-01-31,16429,20
2020-02-03,20548,20
2020-02-04,20510,20
2020-02-05,20616,20
2020-02-06,18359,19
2020-02-07,16572,20
2020-02-10,20443,20
2020-02-11,20727,20
2020-02-12,20643,20
2020-02-13,19990,20
2020-02-14,14537,20
2020-02-18,19642,20
2020-02-19,19987,20
2020-02-20,19663,20
2020-02-21,15772,20
2020-02-24,20747,20
2020-02-25,16247,15
2020-02-26,16991,20
2020-02-27,18071,20
2020-02-28,16874,20
2020-03-02,20725,20
2020-03-03,20863,20
2020-03-04,20284,20
2020-03-05,19915,20
2020-03-06,16511,20
2020-03-09,18892,20
2020-03-10,19037,20
2020-03-11,18225,20
2020-03-12,16447,20
2020-03-13,10986,20
2020-03-16,4852,20
2020-03-17,2707,20
2020-03-18,1616,12
2020-03-19,1209,12
2020-03-20,889,12
2020-03-23,716,12
2020-03-24,581,12
2020-03-25,470,12
2020-03-26,446,12
2020-03-27,381,12
2020-03-30,396,12
2020-03-31,397,12
2020-04-01,385,12
2020-04-02,355,12
2020-04-03,309,12
2020-04-06,304,12
2020-04-07,290,12
2020-04-08,298,8
2020-04-09,266,8
2020-04-13,189,8
2020-04-14,258,8
2020-04-15,259,8
2020-04-16,254,8
2020-04-17,222,8
2020-04-20,261,8
2020-04-21,251,8
2020-04-22,263,8
2020-04-23,260,8
2020-04-24,218,8
2020-04-27,264,8
2020-04-28,251,8
2020-04-29,263,8
2020-04-30,258,8
2020-05-01,244,8
2020-05-04,261,8
2020-05-05,257,8
2020-05-06,248,8
2020-05-07,236,8
2020-05-08,220,8
2020-05-11,237,8
2020-05-12,230,8
2020-05-13,248,8
2020-05-14,242,8
2020-05-15,213,8
2020-05-19,287,8
2020-05-20,285,8
2020-05-21,257,8
2020-05-22,227,8
2020-05-25,265,8
2020-05-26,257,8
2020-05-27,245,8
2020-05-28,236,8
2020-05-29,222,8
2020-06-01,277,8
2020-06-02,275,8
2020-06-03,286,8
2020-06-04,307,8
2020-06-05,240,8
2020-06-08,281,8
2020-06-09,302,8
2020-06-10,289,8
2020-06-11,335,8
2020-06-12,273,8
2020-06-15,351,8
2020-06-16,342,8
2020-06-17,327,8
2020-06-18,351,8
2020-06-19,317,8
2020-06-22,363,8
2020-06-23,364,8
2020-06-24,369,8
2020-06-25,352,8
2020-06-26,318,8
2020-06-29,382,8
2020-06-30,398,8
2020-07-02,386,8
2020-07-03,346,8
2020-07-06,451,8
2020-07-07,450,8
2020-07-08,448,8
2020-07-09,454,8
2020-07-10,390,8
2020-07-13,439,8
2020-07-14,473,8
2020-07-15,490,8
2020-07-16,473,8
2020-07-17,445,8
2020-07-20,411,8
2020-07-21,436,8
2020-07-22,415,8
2020-07-23,443,8
2020-07-24,372,8
2020-07-27,441,8
2020-07-28,467,8
2020-07-29,468,8
2020-07-30,478,8
2020-07-31,404,8
2020-08-04,508,8
2020-08-05,518,8
2020-08-06,553,8
2020-08-07,448,8
2020-08-10,522,8
2020-08-11,560,8
2020-08-12,829,8
2020-08-13,867,8
2020-08-14,708,8
2020-08-17,807,8
2020-08-18,904,8
2020-08-19,866,8
2020-08-20,855,8
2020-08-21,748,8
2020-08-24,846,8
2020-08-25,895,8
2020-08-26,929,8
2020-08-27,905,8
2020-08-28,833,8
2020-08-31,895,8
2020-09-01,950,8
2020-09-02,962,8
2020-09-03,987,8
2020-09-04,764,8
2020-09-08,1066,10
2020-09-09,1109,10
2020-09-10,1084,10
2020-09-11,967,10
2020-09-14,1109,10
2020-09-15,1187,10
2020-09-16,1146,10
2020-09-17,1165,10
2020-09-18,986,10
2020-09-21,1085,10
2020-09-22,1170,10
2020-09-23,1197,10
2020-09-24,1157,10
2020-09-25,993,10
2020-09-28,1115,10
2020-09-29,1141,10
2020-09-30,1147,10
2020-10-01,1131,10
2020-10-02,1020,10
2020-10-05,1071,10
2020-10-06,1141,10
2020-10-07,1131,10
2020-10-08,1131,10
2020-10-09,972,10
2020-10-13,1002,10
2020-10-14,997,10
2020-10-15,1001,9
2020-10-16,923,10
2020-10-19,1013,10
2020-10-20,1075,10
2020-10-21,1049,10
2020-10-22,1076,10
2020-10-23,935,10
2020-10-26,1050,10
2020-10-27,1104,10
2020-10-28,1108,10
2020-10-29,1102,10
2020-10-30,991,10
2020-11-02,1069,10
2020-11-03,1136,10
2020-11-04,1129,10
2020-11-05,1124,10
2020-11-06,999,10
2020-11-09,1062,10
2020-11-10,1146,10
2020-11-11,874,10
2020-11-12,1085,10
2020-11-13,944,10
2020-11-16,1041,10
2020-11-17,1127,10
2020-11-18,1065,10
2020-11-19,1051,10
2020-11-20,995,10
2020-11-23,893,10
2020-11-24,954,10
2020-11-25,928,10
2020-11-26,944,10
2020-11-27,824,10
2020-11-30,921,10
2020-12-01,991,10
2020-12-02,1004,10
2020-12-03,940,10
2020-12-04,840,10
2020-12-07,910,10
2020-12-08,936,10
2020-12-09,988,10
2020-12-10,951,10
2020-12-11,829,10
2020-12-14,871,10
2020-12-15,944,10
2020-12-16,950,10
2020-12-17,888,10
2020-12-18,800,10
2020-12-21,747,10
2020-12-22,761,10
2020-12-23,662,10
2020-12-24,316,10
2020-12-29,500,9
2020-12-30,482,10
2020-12-31,332,10
2021-01-04,794,10
2021-01-05,792,10
2021-01-06,816,10
2021-01-07,769,10
2021-01-08,732,10
2021-01-11,815,10
2021-01-12,820,10
2021-01-13,802,10
2021-01-14,724,10
2021-01-15,648,10
2021-01-18,692,10
2021-01-19,718,10
2021-01-20,691,9
2021-01-21,693,10
2021-01-22,649,10
2021-01-25,700,10
2021-01-26,760,10
2021-01-27,680,8
2021-01-28,718,10
2021-01-29,673,10
2021-02-01,686,10
2021-02-02,706,10
2021-02-03,729,10
2021-02-04,706,10
2021-02-05,661,10
2021-02-08,713,10
2021-02-09,748,10
2021-02-10,749,10
2021-02-11,756,10
2021-02-12,653,10
2021-02-16,707,10
2021-02-17,791,10
2021-02-18,825,10
2021-02-19,740,10
2021-02-22,814,10
2021-02-23,774,10
2021-02-24,786,10
2021-02-25,796,10
2021-02-26,731,10
2021-03-01,783,10
2021-03-02,791,10
2021-03-03,810,10
2021-03-04,822,10
2021-03-05,739,10
2021-03-08,844,10
2021-03-09,885,10
2021-03-10,883,10
2021-03-11,901,10
2021-03-12,781,10
2021-03-15,824,10
2021-03-16,865,10
2021-03-17,890,10
2021-03-18,869,10
2021-03-19,770,10
2021-03-22,872,10
