date,ridership Lakeshore West UNION STATION,total_train_trips Lakeshore West UNION STATION
2022-11-21,8737,42
2022-11-22,11190,41
2022-11-23,11694,42
2022-11-24,11142,41
2022-11-25,9153,42
2022-11-26,7109,43
2022-11-27,3958,39
2022-11-28,9041,43
2022-11-29,11542,42
2022-11-30,11974,41
2022-12-01,12025,42
2022-12-02,9395,42
2022-12-03,6158,40
2022-12-04,4243,39
2022-12-05,8992,46
2022-12-06,11044,44
2022-12-07,12315,45
2022-12-08,12215,44
2022-12-09,8857,45
2022-12-10,6890,41
2022-12-11,4502,39
2022-12-12,8952,46
2022-12-13,11666,44
2022-12-14,12302,45
2022-12-15,8079,41
2022-12-16,8269,42
2022-12-17,6444,40
2022-12-18,4805,38
2022-12-19,7516,45
2022-12-20,10269,45
2022-12-21,9341,43
2022-12-22,8855,44
2022-12-23,4055,40
2022-12-24,3940,40
2022-12-25,2522,39
2022-12-26,3065,39
2022-12-27,4528,39
2022-12-28,5571,46
2022-12-29,6121,45
2022-12-30,6325,45
2022-12-31,3538,40
