date,ridership Lakeshore East,total_train_trips Lakeshore East
2022-03-15,10568,71
2022-03-16,10342,71
2022-03-17,11719,72
2022-03-18,10539,71
2022-03-19,6971,38
2022-03-20,4716,38
2022-03-21,9116,71
2022-03-22,10333,71
2022-03-23,10933,71
2022-03-24,11361,71
2022-03-25,9706,71
2022-03-26,5675,38
2022-03-27,6135,38
2022-03-28,9484,71
2022-03-29,10332,71
2022-03-30,10899,71
2022-03-31,11445,71
2022-04-01,9263,71
2022-04-02,6543,74
2022-04-03,4026,74
2022-04-04,9873,82
2022-04-05,11911,82
2022-04-06,12409,82
2022-04-07,11608,82
2022-04-08,13308,83
2022-04-09,9636,74
2022-04-10,5409,74
2022-04-11,9528,82
2022-04-12,12284,82
2022-04-13,11236,82
2022-04-14,11584,82
2022-04-15,6697,74
2022-04-16,8454,74
2022-04-17,6735,75
2022-04-18,7358,82
2022-04-19,11407,82
2022-04-20,11772,82
2022-04-21,10344,82
2022-04-22,9367,76
2022-04-25,10452,82
2022-04-26,13001,82
2022-04-27,12417,82
2022-04-28,13432,82
2022-04-29,13011,82
2022-04-30,10595,74
2022-05-01,7335,75
2022-05-02,11519,82
2022-05-03,13233,82
2022-05-04,15156,82
2022-05-05,12535,82
2022-05-06,11284,82
2022-05-07,7346,74
2022-05-08,5906,74
2022-05-09,10621,82
2022-05-10,13815,82
2022-05-11,13332,82
2022-05-12,13389,82
2022-05-13,11442,82
2022-05-14,10836,74
2022-05-15,6380,74
2022-05-16,12447,82
2022-05-17,14692,82
2022-05-18,15364,82
2022-05-19,13042,82
2022-05-20,12236,82
2022-05-21,8319,74
2022-05-22,7986,74
2022-05-23,5251,74
2022-05-24,12955,82
2022-05-25,14049,82
2022-05-26,13345,82
2022-05-27,10617,82
2022-05-28,8744,74
2022-05-29,5983,74
2022-05-30,12490,82
2022-05-31,15524,82
2022-06-01,15410,82
2022-06-02,16115,82
2022-06-03,14427,82
2022-06-04,11703,74
2022-06-05,9506,75
2022-06-06,11468,82
2022-06-07,13538,82
2022-06-08,15528,82
2022-06-09,15487,82
2022-06-10,12599,82
2022-06-11,9625,74
2022-06-12,6978,72
2022-06-13,13811,82
2022-06-14,16971,82
2022-06-15,16924,81
2022-06-16,17672,82
2022-06-17,15341,82
2022-06-18,13515,73
2022-06-19,10422,75
2022-06-20,12624,82
2022-06-21,15579,80
2022-06-22,17745,79
2022-06-23,16065,82
2022-06-24,13842,82
2022-06-25,13298,73
2022-06-26,11376,75
2022-06-27,14159,82
2022-06-28,17534,82
2022-06-29,18983,82
2022-06-30,15762,82
2022-07-01,12340,74
2022-07-02,16731,74
2022-07-03,9490,75
2022-07-04,12102,81
2022-07-05,14309,82
2022-07-06,16727,81
2022-07-07,14385,81
2022-07-08,14090,82
2022-07-09,12914,73
2022-07-10,7834,75
2022-07-11,12663,82
2022-07-12,16324,82
2022-07-13,17117,82
2022-07-14,16668,82
2022-07-15,14595,82
2022-07-16,13773,68
2022-07-17,12359,74
2022-07-18,11273,82
2022-07-19,15356,80
2022-07-20,16254,80
2022-07-21,15732,80
2022-07-22,12457,76
2022-07-23,12231,62
2022-07-24,6294,64
2022-07-25,12143,82
2022-07-26,18095,82
2022-07-27,19019,82
2022-07-28,16361,82
2022-07-29,13750,82
2022-07-30,19033,74
2022-07-31,12352,74
2022-08-01,6304,75
2022-08-02,14344,82
2022-08-03,15293,82
2022-08-04,13891,78
2022-08-05,11651,76
2022-08-06,11981,64
2022-08-07,7700,72
2022-08-08,14798,78
2022-08-09,15537,81
2022-08-10,16353,82
2022-08-11,15250,82
2022-08-12,14931,82
2022-08-13,16533,74
2022-08-14,11595,75
2022-08-15,14888,77
2022-08-16,20083,82
2022-08-17,20480,82
2022-08-18,16086,82
2022-08-19,16872,81
2022-08-20,17087,72
2022-08-21,11928,74
2022-08-22,15533,80
2022-08-23,19683,82
2022-08-24,21557,82
2022-08-25,18071,82
2022-08-26,19814,80
2022-08-27,25046,74
2022-08-28,19147,75
2022-08-29,17399,82
2022-08-30,19952,90
2022-08-31,24339,82
2022-09-01,21439,82
2022-09-02,17069,82
2022-09-03,18070,74
2022-09-04,16550,74
2022-09-05,11618,74
2022-09-06,16714,82
2022-09-07,20052,82
2022-09-08,22159,82
2022-09-09,17026,80
2022-09-10,11018,75
2022-09-11,7866,74
2022-09-12,16633,82
2022-09-13,22023,82
2022-09-14,21599,80
2022-09-15,20782,82
2022-09-16,16729,82
2022-09-17,14422,74
2022-09-18,9783,72
2022-09-19,14975,81
2022-09-20,20502,82
2022-09-21,20231,82
2022-09-22,21310,82
2022-09-23,16519,78
2022-09-26,16061,83
2022-09-27,20993,82
2022-09-28,21979,82
2022-09-29,18776,82
2022-09-30,16639,81
2022-10-01,15294,74
2022-10-02,11914,74
2022-10-03,15599,82
2022-10-04,19133,82
2022-10-05,20765,82
2022-10-06,19303,82
2022-10-07,17304,82
2022-10-08,11658,74
2022-10-09,7570,74
2022-10-10,5559,74
2022-10-11,18440,82
2022-10-12,20082,82
2022-10-13,18591,82
2022-10-14,13265,82
2022-10-15,7614,78
2022-10-16,6194,75
2022-10-17,15903,82
2022-10-18,19496,82
2022-10-19,20521,82
2022-10-20,19402,82
2022-10-21,14061,81
2022-10-22,8267,74
2022-10-23,5106,74
2022-10-24,15118,82
2022-10-25,19123,82
2022-10-26,19926,82
2022-10-27,18746,82
2022-10-28,14509,82
2022-10-29,8817,74
2022-10-30,5405,74
2022-10-31,14539,82
2022-11-01,18686,82
2022-11-02,21077,82
2022-11-03,18392,82
2022-11-04,13917,82
2022-11-05,8981,74
2022-11-06,5953,67
2022-11-07,14754,82
2022-11-08,19857,82
2022-11-09,19797,81
2022-11-10,18826,82
2022-11-11,12888,83
2022-11-12,7534,38
2022-11-13,6112,38
2022-11-14,15376,82
2022-11-15,20167,82
2022-11-16,19085,82
2022-11-17,19031,82
2022-11-18,13550,82
2022-11-19,7553,74
2022-11-20,5936,73
2022-11-21,15068,82
2022-11-22,18942,82
2022-11-23,19980,82
2022-11-24,18112,82
2022-11-25,13769,82
2022-11-26,7425,43
2022-11-27,4428,38
2022-11-28,15406,82
2022-11-29,19141,82
2022-11-30,19344,82
2022-12-01,19035,82
2022-12-02,14437,82
2022-12-03,7416,73
2022-12-04,5895,74
2022-12-05,15432,82
2022-12-06,18542,82
2022-12-07,20390,82
2022-12-08,19947,82
2022-12-09,14641,82
2022-12-10,8816,74
2022-12-11,5961,74
2022-12-12,14941,82
2022-12-13,19900,82
2022-12-14,20368,81
2022-12-15,13999,82
2022-12-16,12914,82
2022-12-17,7868,74
2022-12-18,6117,73
2022-12-19,12289,80
2022-12-20,17198,82
2022-12-21,15403,82
2022-12-22,13532,82
2022-12-23,6470,79
2022-12-24,4849,74
2022-12-25,3927,74
2022-12-26,5699,74
2022-12-27,7198,74
2022-12-28,9162,82
2022-12-29,10168,82
2022-12-30,9655,82
2022-12-31,4911,71
