date,ridership Lakeshore East,total_train_trips Lakeshore East
2019-09-22,7391,72
2019-09-23,35700,129
2019-09-24,37282,129
2019-09-25,39493,129
2019-09-26,36632,129
2019-09-27,36452,129
2019-09-28,15596,72
2019-09-29,9701,72
2019-09-30,34970,129
2019-10-01,35957,127
2019-10-02,37146,129
2019-10-03,37104,127
2019-10-04,34173,128
2019-10-05,11421,74
2019-10-06,8351,72
2019-10-07,36305,129
2019-10-08,37370,123
2019-10-09,37347,129
2019-10-10,37679,129
2019-10-11,31832,129
2019-10-12,8988,72
2019-10-13,9219,72
2019-10-14,8984,72
2019-10-15,37231,128
2019-10-16,35045,129
2019-10-17,35680,127
2019-10-18,33341,129
2019-10-19,12553,71
2019-10-20,8332,72
2019-10-21,35630,127
2019-10-22,36357,129
2019-10-23,37006,128
2019-10-24,37278,128
2019-10-25,33721,129
2019-10-28,35854,129
2019-10-29,38056,128
2019-10-30,37911,126
2019-10-31,34277,128
2019-11-01,33744,128
2019-11-02,9158,71
2019-11-03,6920,72
2019-11-04,35329,128
2019-11-05,38067,129
2019-11-06,38193,129
2019-11-07,38390,125
2019-11-08,33351,128
2019-11-09,10753,72
2019-11-10,6916,72
2019-11-11,26026,127
2019-11-12,36172,115
2019-11-13,36713,128
2019-11-14,36036,125
2019-11-15,33708,127
2019-11-16,8415,61
2019-11-17,9765,72
2019-11-18,35827,129
2019-11-19,35955,128
2019-11-20,37380,129
2019-11-21,36289,129
2019-11-22,34353,129
2019-11-23,10286,70
2019-11-24,6861,72
2019-11-25,35948,129
2019-11-26,37707,129
2019-11-27,36658,126
2019-11-28,35788,129
2019-11-29,33378,126
2019-11-30,11624,73
2019-12-01,7560,72
2019-12-02,32605,128
2019-12-03,36773,128
2019-12-04,37394,128
2019-12-05,36631,125
2019-12-06,32653,128
2019-12-07,10568,72
2019-12-08,6262,72
2019-12-09,34762,127
2019-12-10,36476,129
2019-12-11,36359,129
2019-12-12,35001,128
2019-12-13,32327,130
2019-12-14,9313,56
2019-12-15,6576,72
2019-12-16,33912,128
2019-12-17,36035,128
2019-12-18,33831,128
2019-12-19,32953,128
2019-12-20,31368,127
2019-12-21,10993,71
2019-12-22,8182,72
2019-12-23,24040,129
2019-12-24,14840,121
2019-12-25,5270,72
2019-12-26,7384,72
2019-12-27,14297,127
2019-12-28,10101,72
2019-12-29,6704,72
2019-12-30,20629,129
2019-12-31,28695,232
2020-01-01,5059,72
2020-01-02,23974,127
2020-01-03,23092,127
2020-01-04,8948,72
2020-01-05,5190,72
2020-01-06,35187,129
2020-01-07,35699,129
2020-01-08,35866,128
2020-01-09,34702,129
2020-01-10,32207,128
2020-01-11,7138,72
2020-01-12,5088,63
2020-01-13,34579,128
2020-01-14,36901,129
2020-01-15,35398,129
2020-01-16,36610,128
2020-01-17,32452,126
2020-01-18,9997,70
2020-01-19,6168,73
2020-01-20,34075,127
2020-01-21,35384,129
2020-01-22,36491,126
2020-01-23,35894,129
2020-01-24,33080,129
2020-01-25,8962,71
2020-01-26,6012,71
2020-01-27,34138,129
2020-01-28,36162,128
2020-01-29,35176,129
2020-01-30,34237,129
2020-01-31,32899,129
2020-02-01,9388,72
2020-02-02,6125,67
2020-02-03,35533,128
2020-02-04,34605,128
2020-02-05,36033,129
2020-02-06,33187,129
2020-02-07,32880,129
2020-02-08,8300,72
2020-02-09,5578,73
2020-02-10,34779,129
2020-02-11,36303,129
2020-02-12,35665,129
2020-02-13,36371,129
2020-02-14,29488,128
2020-02-15,9261,72
2020-02-16,7028,72
2020-02-17,7485,72
2020-02-18,33912,129
2020-02-19,35315,127
2020-02-20,36192,129
2020-02-21,34537,129
2020-02-22,10674,72
2020-02-23,8153,72
2020-02-24,34626,129
2020-02-25,32452,121
2020-02-26,31762,128
2020-02-27,31556,118
2020-02-28,32660,129
2020-02-29,7846,51
2020-03-01,5343,72
2020-03-02,34423,122
2020-03-03,35603,128
2020-03-04,35651,129
2020-03-05,34589,129
2020-03-06,31087,125
2020-03-07,9021,72
2020-03-08,5435,72
2020-03-09,32200,119
2020-03-10,34048,129
2020-03-11,32120,129
2020-03-12,30039,129
2020-03-13,21873,130
2020-03-14,3538,73
2020-03-15,2433,72
2020-03-16,11253,129
2020-03-17,7355,129
2020-03-18,5192,79
2020-03-19,4300,79
2020-03-20,3375,80
2020-03-21,756,36
2020-03-22,533,36
2020-03-23,2789,80
2020-03-24,2306,79
2020-03-25,2019,80
2020-03-26,1848,80
2020-03-27,1714,80
2020-03-28,408,36
2020-03-29,311,35
2020-03-30,1775,80
2020-03-31,1699,80
2020-04-01,1656,80
2020-04-02,1599,80
2020-04-03,1407,79
2020-04-04,353,36
2020-04-05,321,36
2020-04-06,1297,80
2020-04-07,1261,79
2020-04-08,1182,40
2020-04-09,1208,40
2020-04-10,292,36
2020-04-11,299,35
2020-04-12,235,36
2020-04-13,870,39
2020-04-14,1195,40
2020-04-15,1111,40
2020-04-16,1121,39
2020-04-17,1037,40
2020-04-18,359,36
2020-04-19,277,36
2020-04-20,1112,40
2020-04-21,1035,40
2020-04-22,1157,40
2020-04-23,1087,40
2020-04-24,1038,39
2020-04-25,417,36
2020-04-26,245,36
2020-04-27,1128,40
2020-04-28,1118,40
2020-04-29,1023,39
2020-04-30,1118,40
2020-05-01,1143,40
2020-05-02,410,36
2020-05-03,449,36
2020-05-04,1147,38
2020-05-05,1143,39
2020-05-06,1145,40
2020-05-07,1137,40
2020-05-08,1123,40
2020-05-09,386,36
2020-05-10,401,36
2020-05-11,1175,40
2020-05-12,1248,40
2020-05-13,1217,40
2020-05-14,1176,40
2020-05-15,1156,39
2020-05-16,657,36
2020-05-17,365,35
2020-05-18,394,36
2020-05-19,1388,39
2020-05-20,1491,40
2020-05-21,1463,40
2020-05-22,1457,40
2020-05-23,757,36
2020-05-24,547,34
2020-05-25,1672,45
2020-05-26,1638,45
2020-05-27,1544,45
2020-05-28,1471,45
2020-05-29,1492,45
2020-05-30,885,36
2020-05-31,698,36
2020-06-01,1733,45
2020-06-02,1636,45
2020-06-03,1660,45
2020-06-04,1823,45
2020-06-05,1712,45
2020-06-06,1030,36
2020-06-07,818,36
2020-06-08,1796,45
2020-06-09,1870,45
2020-06-10,1789,45
2020-06-11,1829,45
2020-06-12,1944,45
2020-06-13,1129,36
2020-06-14,945,36
2020-06-15,2026,45
2020-06-16,2127,45
2020-06-17,2065,45
2020-06-18,2086,45
2020-06-19,2220,45
2020-06-20,1495,36
2020-06-21,1292,36
2020-06-22,2174,45
2020-06-23,2114,45
2020-06-24,2342,45
2020-06-25,2315,45
2020-06-26,2478,45
2020-06-27,1385,36
2020-06-28,1410,36
2020-06-29,2554,44
2020-06-30,2718,45
2020-07-01,1667,36
2020-07-02,2643,45
2020-07-03,2652,42
2020-07-04,1823,36
2020-07-05,1468,36
2020-07-06,2643,45
2020-07-07,2573,45
2020-07-08,2529,45
2020-07-09,2565,45
2020-07-10,2634,43
2020-07-11,1374,36
2020-07-12,1412,36
2020-07-13,2383,45
2020-07-14,2427,45
2020-07-15,2617,45
2020-07-16,2304,45
2020-07-17,2829,45
2020-07-18,2045,34
2020-07-19,1341,37
2020-07-20,2478,45
2020-07-21,2426,45
2020-07-22,2261,45
2020-07-23,2566,46
2020-07-24,2908,45
2020-07-25,2093,36
