date,ridership Stouffville OLD ELM GO,total_train_trips Stouffville OLD ELM GO
2019-12-23,3294,9
2019-12-24,1929,9
2019-12-25,55,3
2019-12-26,95,3
2019-12-27,1611,8
2019-12-28,74,3
2019-12-29,47,3
2019-12-30,2502,9
2019-12-31,3681,16
2020-01-01,35,3
2020-01-02,3876,9
2020-01-03,3506,9
2020-01-04,70,3
2020-01-05,37,3
2020-01-06,6372,9
2020-01-07,6481,9
2020-01-08,6381,9
2020-01-09,6328,9
2020-01-10,5596,9
2020-01-11,76,3
2020-01-12,39,3
2020-01-13,6413,9
2020-01-14,6477,9
2020-01-15,6417,9
2020-01-16,6413,9
2020-01-17,5306,9
2020-01-18,124,3
2020-01-19,73,3
2020-01-20,6105,9
2020-01-21,6492,9
2020-01-22,6482,9
2020-01-23,6398,9
2020-01-24,5205,9
2020-01-25,91,3
2020-01-26,69,3
2020-01-27,6096,9
2020-01-28,6177,9
2020-01-29,6044,9
2020-01-30,6057,9
2020-01-31,5156,9
2020-02-01,135,3
2020-02-02,49,2
2020-02-03,6250,9
2020-02-04,6336,9
2020-02-05,6218,9
2020-02-06,5766,9
2020-02-07,5296,9
2020-02-08,101,3
2020-02-09,57,3
2020-02-10,6208,9
2020-02-11,6269,9
2020-02-12,6229,9
2020-02-13,6211,9
2020-02-14,4811,9
2020-02-15,101,3
2020-02-16,70,3
2020-02-17,138,3
2020-02-18,6012,9
2020-02-19,6114,9
2020-02-20,6085,9
2020-02-21,5219,9
2020-02-22,101,3
2020-02-23,79,3
2020-02-24,6298,9
2020-02-25,6376,9
2020-02-26,5935,9
2020-02-27,5572,9
2020-02-28,5295,9
2020-02-29,33,1
2020-03-01,56,3
2020-03-02,6320,9
2020-03-03,6355,9
2020-03-04,6166,9
2020-03-05,6009,9
2020-03-06,5246,9
2020-03-07,110,3
2020-03-08,54,3
2020-03-09,5829,9
2020-03-10,5824,9
2020-03-11,5624,9
2020-03-12,5072,9
2020-03-13,3551,9
2020-03-14,37,3
2020-03-15,19,3
2020-03-16,1443,9
2020-03-17,797,9
2020-03-18,394,5
2020-03-19,334,5
2020-03-20,257,5
2020-03-21,14,3
2020-03-22,7,3
2020-03-23,198,5
2020-03-24,158,5
2020-03-25,119,5
2020-03-26,109,5
2020-03-27,100,5
2020-03-28,8,3
2020-03-29,7,3
2020-03-30,101,5
2020-03-31,93,5
2020-04-01,89,5
2020-04-02,100,5
2020-04-03,85,5
2020-04-04,5,3
2020-04-05,6,3
2020-04-06,91,5
2020-04-07,79,5
2020-04-08,74,3
2020-04-09,73,3
2020-04-10,4,2
2020-04-11,4,3
2020-04-12,3,3
2020-04-13,41,3
2020-04-14,69,3
2020-04-15,74,3
2020-04-16,58,3
2020-04-17,54,3
2020-04-18,4,2
2020-04-19,4,3
2020-04-20,67,3
2020-04-21,65,3
2020-04-22,73,3
2020-04-23,63,3
2020-04-24,62,3
2020-04-25,5,3
2020-04-26,2,2
2020-04-27,58,3
2020-04-28,54,3
2020-04-29,62,3
2020-04-30,62,3
2020-05-01,57,3
2020-05-02,8,3
2020-05-03,6,2
2020-05-04,69,3
2020-05-05,62,3
2020-05-06,67,3
2020-05-07,62,3
2020-05-08,62,3
2020-05-11,59,3
2020-05-12,60,3
2020-05-13,57,3
2020-05-14,62,3
2020-05-15,51,3
2020-05-16,6,3
2020-05-17,9,2
2020-05-18,6,3
2020-05-19,71,3
2020-05-20,70,3
2020-05-21,62,3
2020-05-22,63,3
2020-05-23,10,3
2020-05-24,8,2
2020-05-25,75,3
2020-05-26,72,3
2020-05-27,71,3
2020-05-28,67,3
2020-05-29,70,3
2020-06-01,75,3
2020-06-02,60,3
2020-06-03,70,3
2020-06-04,78,3
2020-06-05,60,3
2020-06-08,76,3
2020-06-09,54,3
2020-06-10,51,3
2020-06-11,62,3
2020-06-12,51,3
2020-06-15,73,3
2020-06-16,72,3
2020-06-17,71,3
2020-06-18,73,3
2020-06-19,59,3
2020-06-22,76,3
2020-06-23,74,3
2020-06-24,73,3
2020-06-25,70,3
2020-06-26,70,3
2020-06-29,90,3
2020-06-30,81,3
2020-07-02,82,3
2020-07-03,76,3
2020-07-06,110,3
2020-07-07,97,3
2020-07-08,110,3
2020-07-09,110,3
2020-07-10,93,3
2020-07-13,110,3
2020-07-14,101,3
2020-07-15,101,3
2020-07-16,95,3
2020-07-17,104,3
2020-07-20,105,3
2020-07-21,111,3
2020-07-22,107,3
2020-07-23,97,3
2020-07-24,101,3
2020-07-27,119,3
2020-07-28,117,3
2020-07-29,110,3
2020-07-30,117,3
2020-07-31,106,3
2020-08-04,128,3
2020-08-05,136,3
2020-08-06,132,3
2020-08-07,123,3
2020-08-10,130,3
2020-08-11,135,3
2020-08-12,220,3
2020-08-13,220,3
2020-08-14,192,3
2020-08-17,222,3
2020-08-18,231,3
2020-08-19,243,3
2020-08-20,231,3
2020-08-21,183,3
2020-08-24,231,3
2020-08-25,213,3
2020-08-26,229,3
2020-08-27,216,3
2020-08-28,202,3
2020-08-31,241,3
2020-09-01,244,3
2020-09-02,265,3
2020-09-03,245,3
2020-09-04,200,3
2020-09-05,33,3
2020-09-06,27,3
2020-09-07,22,3
2020-09-08,300,5
2020-09-09,318,5
2020-09-10,292,5
2020-09-11,264,5
2020-09-12,41,3
2020-09-13,18,3
2020-09-14,315,5
2020-09-15,329,5
2020-09-16,342,5
2020-09-17,322,5
2020-09-18,293,5
2020-09-19,37,3
2020-09-20,22,3
2020-09-21,345,5
2020-09-22,352,5
2020-09-23,346,5
2020-09-24,332,5
2020-09-25,288,5
2020-09-26,41,3
2020-09-27,20,3
2020-09-28,335,5
2020-09-29,343,5
2020-09-30,323,5
2020-10-01,331,5
2020-10-02,274,5
2020-10-03,29,3
2020-10-04,18,3
2020-10-05,315,5
2020-10-06,322,5
2020-10-07,296,5
2020-10-08,305,5
2020-10-09,258,5
2020-10-10,31,3
2020-10-11,18,3
2020-10-12,14,3
2020-10-13,317,5
2020-10-14,308,5
2020-10-15,302,5
2020-10-16,274,5
2020-10-19,284,5
2020-10-20,317,5
2020-10-21,302,5
2020-10-22,296,5
2020-10-23,264,5
2020-10-24,24,3
2020-10-25,19,3
2020-10-26,309,5
2020-10-27,315,5
2020-10-28,292,5
2020-10-29,301,5
2020-10-30,267,5
2020-10-31,32,3
2020-11-01,18,3
2020-11-02,312,5
2020-11-03,314,5
2020-11-04,330,5
2020-11-05,317,5
2020-11-06,280,5
2020-11-07,39,3
2020-11-08,25,3
2020-11-09,324,5
2020-11-10,339,5
2020-11-11,253,5
2020-11-12,322,5
