date,ridership Lakeshore East OSHAWA GO,total_train_trips Lakeshore East OSHAWA GO
2022-04-06,6519,41
2022-04-07,6024,41
2022-04-08,7314,41
2022-04-09,5064,37
2022-04-10,2776,37
2022-04-11,4937,41
2022-04-12,6412,41
2022-04-13,5792,41
2022-04-14,6143,41
2022-04-15,3479,37
2022-04-16,4391,37
2022-04-17,3660,38
2022-04-18,3897,41
2022-04-19,5992,41
2022-04-20,6119,41
2022-04-21,5364,41
2022-04-22,5044,39
2022-04-25,5490,41
2022-04-26,6863,41
2022-04-27,6430,41
2022-04-28,7083,41
2022-04-29,7107,41
2022-04-30,5575,37
2022-05-01,3778,37
2022-05-02,6114,41
2022-05-03,6921,41
2022-05-04,8028,41
2022-05-05,6480,41
2022-05-06,5975,41
2022-05-07,3772,37
2022-05-08,3043,37
2022-05-09,5578,41
2022-05-10,7288,41
2022-05-11,6864,41
2022-05-12,6970,41
2022-05-13,6140,41
2022-05-14,5857,37
2022-05-15,3346,37
2022-05-16,6571,41
2022-05-17,7626,41
2022-05-18,8094,41
2022-05-19,6740,41
2022-05-20,6501,41
2022-05-21,4311,37
2022-05-22,4138,37
2022-05-23,2840,37
2022-05-24,6800,41
2022-05-25,7265,41
2022-05-26,6975,41
2022-05-27,5665,41
2022-05-28,4627,37
2022-05-29,3123,37
2022-05-30,6569,41
2022-05-31,8092,41
2022-06-01,8066,41
2022-06-02,8533,41
2022-06-03,7839,41
2022-06-04,6288,37
2022-06-05,5024,37
2022-06-06,6059,41
2022-06-07,7331,41
2022-06-08,8073,41
2022-06-09,8210,41
2022-06-10,6660,41
2022-06-11,5233,37
2022-06-12,3697,36
2022-06-13,7250,41
2022-06-14,8943,41
2022-06-15,8821,41
2022-06-16,9322,41
2022-06-17,8337,41
2022-06-18,6882,36
2022-06-19,5428,38
2022-06-20,6649,41
2022-06-21,8120,40
2022-06-22,9357,40
2022-06-23,8320,41
2022-06-24,7629,41
2022-06-25,7179,37
2022-06-26,5850,38
2022-06-27,7455,41
2022-06-28,9253,41
2022-06-29,10081,41
2022-06-30,8239,41
2022-07-01,6502,37
2022-07-02,9016,37
2022-07-03,4975,38
2022-07-04,6404,40
2022-07-05,7434,41
2022-07-06,8873,40
2022-07-07,7569,40
2022-07-08,7737,41
2022-07-09,6850,36
2022-07-10,4060,38
2022-07-11,6591,41
2022-07-12,8650,41
2022-07-13,8970,41
2022-07-14,8865,41
2022-07-15,7805,41
2022-07-16,7413,33
2022-07-17,6608,37
2022-07-18,5783,41
2022-07-19,8077,40
2022-07-20,8571,40
2022-07-21,8277,40
2022-07-22,6749,39
2022-07-23,6660,31
2022-07-24,3236,32
2022-07-25,6322,41
2022-07-26,9742,41
2022-07-27,10052,41
2022-07-28,8636,41
2022-07-29,7453,41
2022-07-30,10361,37
2022-07-31,6514,37
2022-08-01,3486,38
2022-08-02,7598,41
2022-08-03,7984,41
2022-08-04,7320,39
2022-08-05,6184,38
2022-08-06,6674,32
2022-08-07,3979,36
2022-08-08,8016,39
2022-08-09,7711,40
2022-08-10,8560,41
2022-08-11,8010,41
2022-08-12,8211,41
2022-08-13,8941,37
2022-08-14,6057,38
2022-08-15,7952,38
2022-08-16,10845,41
2022-08-17,10696,41
2022-08-18,8348,41
2022-08-19,9213,40
2022-08-20,9177,36
2022-08-21,6333,37
2022-08-22,8256,40
2022-08-23,10320,41
2022-08-24,11410,41
2022-08-25,9416,41
2022-08-26,10892,40
2022-08-27,13364,37
2022-08-28,9956,38
2022-08-29,9244,41
2022-08-30,10611,49
2022-08-31,13027,41
2022-09-01,11221,41
2022-09-02,9004,41
2022-09-03,9272,36
2022-09-04,8981,37
2022-09-05,6071,37
2022-09-06,8849,41
2022-09-07,10677,41
2022-09-08,11848,41
2022-09-09,9155,40
2022-09-10,6015,37
2022-09-11,4289,37
2022-09-12,8712,41
2022-09-13,11522,41
2022-09-14,11467,40
2022-09-15,10876,41
2022-09-16,9008,41
2022-09-17,7725,37
2022-09-18,5140,36
2022-09-19,7799,41
2022-09-20,10751,41
2022-09-21,10595,41
2022-09-22,11310,41
2022-09-23,9168,40
2022-09-26,8218,40
2022-09-27,11029,41
2022-09-28,11625,41
2022-09-29,9644,41
2022-09-30,9117,40
2022-10-01,8176,37
2022-10-02,6295,37
2022-10-03,8021,41
2022-10-04,9921,41
2022-10-05,10864,41
