date,ridership Lakeshore East OSHAWA GO,total_train_trips Lakeshore East OSHAWA GO
2019-09-21,6147,36
2019-09-22,3895,36
2019-09-23,17189,62
2019-09-24,17842,62
2019-09-25,18983,62
2019-09-26,17675,62
2019-09-27,17844,62
2019-09-28,8227,36
2019-09-29,4959,36
2019-09-30,16787,62
2019-10-01,17208,61
2019-10-02,17834,62
2019-10-03,17809,62
2019-10-04,16499,61
2019-10-05,6130,37
2019-10-06,4399,36
2019-10-07,17390,62
2019-10-08,17867,56
2019-10-09,17968,62
2019-10-10,18135,62
2019-10-11,15248,62
2019-10-12,4241,36
2019-10-13,4622,36
2019-10-14,5150,36
2019-10-15,18103,61
2019-10-16,16881,62
2019-10-17,17180,61
2019-10-18,16275,62
2019-10-19,6783,35
2019-10-20,4352,36
2019-10-21,17310,62
2019-10-22,17428,62
2019-10-23,17704,61
2019-10-24,17932,62
2019-10-25,16323,62
2019-10-28,17206,62
2019-10-29,18295,62
2019-10-30,18191,60
2019-10-31,16466,61
2019-11-01,16062,62
2019-11-02,4781,35
2019-11-03,3547,36
2019-11-04,16884,61
2019-11-05,18167,62
2019-11-06,18253,62
2019-11-07,18565,60
2019-11-08,16139,61
2019-11-09,5674,36
2019-11-10,3579,36
2019-11-11,12664,61
2019-11-12,17441,53
2019-11-13,17551,62
2019-11-14,17367,60
2019-11-15,16530,61
2019-11-16,4520,30
2019-11-17,5084,36
2019-11-18,17187,62
2019-11-19,16538,61
2019-11-20,17955,62
2019-11-21,17460,62
2019-11-22,16721,62
2019-11-23,5389,35
2019-11-24,3535,36
2019-11-25,17307,62
2019-11-26,18064,62
2019-11-27,17585,61
2019-11-28,17308,62
2019-11-29,16448,61
2019-11-30,6104,36
2019-12-01,3937,36
2019-12-02,15726,61
2019-12-03,17610,61
2019-12-04,18136,61
2019-12-05,18626,61
2019-12-06,16055,61
2019-12-07,5536,36
2019-12-08,3211,36
2019-12-09,16759,61
2019-12-10,17536,62
2019-12-11,17583,62
2019-12-12,17108,61
2019-12-13,16020,63
2019-12-14,4865,28
2019-12-15,3401,36
2019-12-16,16365,61
2019-12-17,17469,62
2019-12-18,16347,61
2019-12-19,16021,62
2019-12-20,15415,61
2019-12-21,5634,35
2019-12-22,4146,36
2019-12-23,11672,62
2019-12-24,6494,58
2019-12-25,2708,36
2019-12-26,4255,36
2019-12-27,7434,60
2019-12-28,5409,36
2019-12-29,3567,36
2019-12-30,10187,62
2019-12-31,16013,112
2020-01-01,2353,36
2020-01-02,11702,61
2020-01-03,11370,61
2020-01-04,4707,36
2020-01-05,2708,36
2020-01-06,16895,62
2020-01-07,17086,62
2020-01-08,17179,61
2020-01-09,16586,62
2020-01-10,15619,62
2020-01-11,3747,36
2020-01-12,2645,31
2020-01-13,16585,61
2020-01-14,17737,62
2020-01-15,16945,62
2020-01-16,17610,61
2020-01-17,15822,60
2020-01-18,5241,34
2020-01-19,3103,37
2020-01-20,16380,61
2020-01-21,16960,62
2020-01-22,17378,59
2020-01-23,17151,62
2020-01-24,15937,62
2020-01-25,4668,35
2020-01-26,3130,35
2020-01-27,16414,62
2020-01-28,17319,61
2020-01-29,16787,62
2020-01-30,16455,62
2020-01-31,15979,62
2020-02-01,4891,36
2020-02-02,3176,33
2020-02-03,17101,61
2020-02-04,16507,62
2020-02-05,17282,62
2020-02-06,15976,62
2020-02-07,16080,62
2020-02-08,4402,36
2020-02-09,2905,37
2020-02-10,16785,62
2020-02-11,17416,62
2020-02-12,17147,62
2020-02-13,17664,62
2020-02-14,15025,62
2020-02-15,4720,36
2020-02-16,3550,36
2020-02-17,4070,36
2020-02-18,16486,62
2020-02-19,16959,61
2020-02-20,17477,62
2020-02-21,16987,62
2020-02-22,5713,36
2020-02-23,4318,36
2020-02-24,16613,62
2020-02-25,16863,60
2020-02-26,15105,61
2020-02-27,15468,57
2020-02-28,15711,62
2020-02-29,4097,26
2020-03-01,2804,36
2020-03-02,16467,58
2020-03-03,16986,61
2020-03-04,17079,62
2020-03-05,16610,62
2020-03-06,15112,60
2020-03-07,4767,36
2020-03-08,2812,36
2020-03-09,15606,56
2020-03-10,16379,62
2020-03-11,15391,62
2020-03-12,14428,62
2020-03-13,10553,63
2020-03-14,1795,37
2020-03-15,1248,36
2020-03-16,5501,62
2020-03-17,3594,62
2020-03-18,2659,39
2020-03-19,2179,39
2020-03-20,1729,40
2020-03-21,372,18
2020-03-22,275,18
2020-03-23,1436,40
2020-03-24,1179,39
2020-03-25,1028,40
2020-03-26,941,40
2020-03-27,866,40
2020-03-28,202,18
2020-03-29,157,17
2020-03-30,914,40
2020-03-31,862,40
2020-04-01,856,40
2020-04-02,821,40
2020-04-03,714,39
2020-04-04,183,18
2020-04-05,167,18
2020-04-06,670,40
2020-04-07,650,39
2020-04-08,602,20
2020-04-09,619,20
2020-04-10,145,18
2020-04-11,138,17
2020-04-12,122,18
2020-04-13,448,19
2020-04-14,615,20
2020-04-15,564,20
2020-04-16,576,20
2020-04-17,525,20
2020-04-18,178,18
2020-04-19,145,18
2020-04-20,573,20
2020-04-21,536,20
2020-04-22,592,20
2020-04-23,555,20
2020-04-24,529,20
2020-04-25,206,18
2020-04-26,126,18
2020-04-27,602,20
2020-04-28,575,20
2020-04-29,529,20
2020-04-30,570,20
2020-05-01,592,20
2020-05-02,214,18
2020-05-03,225,18
2020-05-04,590,19
2020-05-05,589,20
2020-05-06,599,20
2020-05-07,589,20
2020-05-08,578,20
2020-05-09,187,18
2020-05-10,209,18
2020-05-11,627,20
2020-05-12,650,20
2020-05-13,627,20
2020-05-14,608,20
2020-05-15,591,20
2020-05-16,337,18
2020-05-17,191,18
2020-05-18,207,18
2020-05-19,736,20
2020-05-20,774,20
2020-05-21,761,20
2020-05-22,735,20
2020-05-23,373,18
2020-05-24,293,17
2020-05-25,895,22
2020-05-26,843,22
2020-05-27,762,22
2020-05-28,705,22
2020-05-29,696,22
2020-05-30,440,18
2020-05-31,369,18
2020-06-01,815,22
2020-06-02,758,22
2020-06-03,766,22
2020-06-04,871,22
2020-06-05,790,22
2020-06-06,513,18
2020-06-07,441,18
2020-06-08,839,22
2020-06-09,856,22
2020-06-10,823,22
2020-06-11,831,22
2020-06-12,909,22
2020-06-13,550,18
2020-06-14,515,18
2020-06-15,945,22
2020-06-16,981,22
2020-06-17,980,22
2020-06-18,950,22
2020-06-19,980,22
2020-06-20,711,18
2020-06-21,697,18
2020-06-22,1040,22
2020-06-23,970,22
2020-06-24,1090,22
2020-06-25,1070,22
2020-06-26,1161,22
2020-06-27,679,18
2020-06-28,727,18
2020-06-29,1200,21
2020-06-30,1246,22
2020-07-01,850,18
2020-07-02,1222,22
2020-07-03,1214,21
2020-07-04,912,18
2020-07-05,780,18
2020-07-06,1256,22
2020-07-07,1170,22
2020-07-08,1096,22
2020-07-09,1105,22
2020-07-10,1103,22
2020-07-11,678,18
2020-07-12,726,18
2020-07-13,971,22
2020-07-14,978,22
2020-07-15,1034,22
2020-07-16,891,22
2020-07-17,1189,22
2020-07-18,983,17
2020-07-19,718,18
2020-07-20,1068,22
2020-07-21,1015,22
2020-07-22,940,22
2020-07-23,1083,22
2020-07-24,1232,22
2020-07-25,1016,18
2020-07-26,889,18
2020-07-27,1035,22
2020-07-28,1159,22
2020-07-29,1106,22
2020-07-30,1229,22
2020-07-31,1372,22
2020-08-01,1199,18
2020-08-02,770,18
2020-08-03,879,18
2020-08-04,1162,22
2020-08-05,1281,21
2020-08-06,1375,22
2020-08-07,1463,22
2020-08-08,1234,18
2020-08-09,983,18
2020-08-10,1326,22
2020-08-11,1226,22
2020-08-12,2374,22
2020-08-13,2383,22
2020-08-14,2435,22
2020-08-15,1643,18
2020-08-16,1255,18
2020-08-17,2226,22
2020-08-18,2477,22
2020-08-19,2499,22
2020-08-20,2517,22
2020-08-21,2515,22
2020-08-22,1609,18
2020-08-23,1352,18
2020-08-24,2338,22
2020-08-25,2525,22
2020-08-26,2577,22
2020-08-27,2470,22
2020-08-28,2629,22
2020-08-29,1504,18
2020-08-30,1349,18
2020-08-31,2511,22
2020-09-01,2637,22
2020-09-02,2502,22
2020-09-03,2760,22
2020-09-04,2704,22
2020-09-05,1591,19
2020-09-06,1416,19
2020-09-07,1186,19
2020-09-08,2619,33
2020-09-09,2756,33
2020-09-10,2785,33
2020-09-11,2948,33
2020-09-12,1583,19
2020-09-13,1144,19
2020-09-14,2625,33
2020-09-15,2667,33
2020-09-16,2793,33
2020-09-17,2754,33
2020-09-18,2771,33
2020-09-19,342,1
2020-09-20,685,8
2020-09-21,2669,33
2020-09-22,2740,33
2020-09-23,2690,33
2020-09-24,2713,33
2020-09-25,2779,33
2020-09-26,1447,19
2020-09-27,1205,19
2020-09-28,2552,32
2020-09-29,2649,33
2020-09-30,2626,33
2020-10-01,2623,33
2020-10-02,2503,33
2020-10-03,1250,19
2020-10-04,935,19
2020-10-05,2437,33
2020-10-06,2524,33
2020-10-07,2526,33
2020-10-08,2584,33
2020-10-09,2462,33
2020-10-10,1034,19
2020-10-11,930,19
2020-10-12,1001,19
2020-10-13,2618,33
2020-10-14,2543,33
2020-10-15,2438,33
2020-10-16,2413,33
2020-10-17,1135,19
2020-10-18,875,19
2020-10-19,2342,33
2020-10-20,2459,33
2020-10-21,2398,32
2020-10-22,2437,33
2020-10-23,2430,33
2020-10-24,978,15
2020-10-25,915,19
2020-10-26,2379,33
2020-10-27,2489,33
2020-10-28,2505,33
2020-10-29,2510,33
2020-10-30,2390,33
2020-10-31,1079,19
2020-11-01,873,19
2020-11-02,2396,33
2020-11-03,2490,33
2020-11-04,2475,33
2020-11-05,2558,33
2020-11-06,2559,32
2020-11-07,764,13
2020-11-08,744,15
2020-11-09,2469,33
2020-11-10,2642,32
2020-11-11,2291,33
2020-11-12,2580,33
2020-11-13,2429,33
2020-11-14,1017,19
2020-11-15,788,19
2020-11-16,2309,33
2020-11-17,2427,33
2020-11-18,2371,33
2020-11-19,2380,27
2020-11-20,2355,33
2020-11-21,894,19
2020-11-22,774,19
2020-11-23,2010,27
2020-11-24,2155,33
2020-11-25,2087,33
2020-11-26,2142,33
2020-11-27,2007,33
2020-11-28,663,19
2020-11-29,646,19
2020-11-30,2028,33
2020-12-01,2131,33
2020-12-02,2098,33
2020-12-03,2141,33
2020-12-04,1941,33
2020-12-05,725,19
2020-12-06,648,19
2020-12-07,2053,33
2020-12-08,2118,33
2020-12-09,2115,33
2020-12-10,2095,33
2020-12-11,2001,33
2020-12-12,689,19
2020-12-13,671,19
2020-12-14,2053,33
2020-12-15,2054,33
2020-12-16,2039,33
2020-12-17,2063,32
2020-12-18,1913,33
2020-12-19,749,19
2020-12-20,619,19
2020-12-21,1806,33
2020-12-22,1828,33
2020-12-23,1726,33
2020-12-24,1179,33
2020-12-25,512,19
2020-12-26,547,19
2020-12-27,555,19
2020-12-28,610,19
2020-12-29,1233,33
2020-12-30,1187,33
2020-12-31,1128,33
2021-01-01,359,19
2021-01-02,491,19
2021-01-03,446,19
2021-01-04,1660,33
2021-01-05,1717,33
2021-01-06,1710,33
2021-01-07,1738,33
2021-01-08,1628,33
2021-01-09,574,19
2021-01-10,503,19
2021-01-11,1769,33
2021-01-12,1768,33
2021-01-13,1783,33
2021-01-14,1536,33
2021-01-15,1398,33
2021-01-16,393,19
2021-01-17,364,19
2021-01-18,1530,33
2021-01-19,1510,33
2021-01-20,1481,33
2021-01-21,1556,33
2021-01-22,1433,33
2021-01-23,403,19
2021-01-24,354,19
2021-01-25,1542,33
2021-01-26,1559,33
2021-01-27,1508,33
2021-01-28,1497,33
2021-01-29,1434,33
2021-01-30,449,19
2021-01-31,390,19
2021-02-01,1535,33
2021-02-02,1570,33
2021-02-03,1537,33
2021-02-04,1602,33
2021-02-05,1476,32
2021-02-06,464,19
2021-02-07,414,19
2021-02-08,1540,33
2021-02-09,1580,33
2021-02-10,1579,33
2021-02-11,1576,33
2021-02-12,1520,33
2021-02-13,537,19
2021-02-14,473,19
2021-02-15,566,19
2021-02-16,1660,33
2021-02-17,1739,32
2021-02-18,1774,33
2021-02-19,1688,33
2021-02-20,628,19
2021-02-21,581,19
2021-02-22,1723,33
2021-02-23,1733,31
2021-02-24,1776,33
2021-02-25,1722,33
2021-02-26,1772,33
2021-02-27,655,19
2021-02-28,602,19
2021-03-01,1751,33
2021-03-02,1789,33
2021-03-03,1818,33
2021-03-04,1823,33
2021-03-05,1771,33
2021-03-06,641,19
2021-03-07,662,19
2021-03-08,1838,33
2021-03-09,1959,33
2021-03-10,1970,33
2021-03-11,1993,33
2021-03-12,1953,32
2021-03-13,827,19
2021-03-14,620,19
2021-03-15,1882,33
2021-03-16,1887,32
2021-03-17,1946,33
2021-03-18,1907,33
2021-03-19,1892,33
2021-03-20,925,19
2021-03-21,773,19
2021-03-22,1966,33
2021-03-23,1998,33
2021-03-24,1945,33
2021-03-25,2087,33
2021-03-26,1837,33
2021-03-27,881,19
2021-03-28,648,20
2021-03-29,1990,33
2021-03-30,2103,33
2021-03-31,1999,33
2021-04-01,2058,33
2021-04-02,621,19
2021-04-03,582,19
2021-04-04,714,19
2021-04-05,1545,33
2021-04-06,1907,33
2021-04-07,1884,33
2021-04-08,1771,33
2021-04-09,1666,33
2021-04-10,617,19
2021-04-11,438,20
2021-04-12,1594,33
2021-04-13,1646,33
2021-04-14,1691,33
2021-04-15,1627,31
2021-04-16,1546,33
2021-04-17,483,19
2021-04-18,470,19
2021-04-19,1528,33
2021-04-20,1470,33
2021-04-21,1426,33
2021-04-22,1518,33
2021-04-23,1516,33
2021-04-24,582,19
2021-04-25,466,19
2021-04-26,1531,33
2021-04-27,1554,33
2021-04-28,1507,33
2021-04-29,1519,32
2021-04-30,1515,33
2021-05-01,579,19
2021-05-02,463,19
2021-05-03,1540,33
2021-05-04,1528,33
2021-05-05,1570,33
2021-05-06,1588,33
2021-05-07,1498,33
2021-05-08,614,19
2021-05-09,663,19
2021-05-10,1629,33
2021-05-11,1579,32
2021-05-12,1679,33
2021-05-13,1691,33
2021-05-14,1641,33
2021-05-15,825,19
2021-05-16,722,19
2021-05-17,1659,33
2021-05-18,1702,33
2021-05-19,1743,33
2021-05-20,1734,33
2021-05-21,1678,33
2021-05-22,729,19
2021-05-23,694,19
2021-05-24,782,19
2021-05-25,1779,33
2021-05-26,1737,33
2021-05-27,1849,33
2021-05-28,1621,33
2021-05-29,880,19
2021-05-30,821,19
2021-05-31,1872,33
2021-06-01,1863,33
2021-06-02,1910,33
2021-06-03,1817,33
2021-06-04,1929,33
2021-06-05,1236,19
2021-06-06,1034,19
2021-06-07,1923,32
2021-06-08,1854,33
2021-06-09,1995,33
2021-06-10,2155,33
2021-06-11,2279,33
2021-06-12,1349,19
2021-06-13,1075,19
2021-06-14,1976,33
2021-06-15,2256,33
2021-06-16,2257,33
2021-06-17,2311,33
2021-06-18,2124,33
2021-06-19,1501,19
2021-06-20,1278,19
2021-06-21,2176,33
2021-06-22,2395,33
2021-06-23,2414,33
2021-06-24,2493,33
2021-06-25,2373,33
2021-06-26,1231,19
2021-06-27,1295,19
2021-06-28,2371,33
2021-06-29,2257,33
2021-06-30,2586,33
2021-07-01,1292,19
2021-07-02,1977,33
2021-07-03,1640,19
2021-07-04,1482,19
2021-07-05,2474,32
2021-07-06,2518,32
2021-07-07,2500,33
2021-07-08,2389,33
2021-07-09,2624,33
2021-07-10,2013,37
2021-07-11,1477,37
2021-07-12,2543,33
2021-07-13,2614,33
2021-07-14,2823,33
2021-07-15,2709,33
2021-07-16,2814,33
2021-07-17,1754,36
2021-07-18,1720,37
2021-07-19,2730,33
2021-07-20,2646,33
2021-07-21,3279,33
2021-07-22,3053,33
2021-07-23,3288,33
2021-07-24,1950,37
2021-07-25,1954,37
2021-07-26,2858,33
2021-07-27,2856,33
2021-07-28,3309,33
2021-07-29,2902,33
2021-07-30,3799,33
2021-07-31,2575,37
2021-08-01,2166,37
2021-08-02,2354,37
2021-08-03,3416,33
2021-08-04,3652,33
2021-08-05,3709,33
2021-08-06,3976,33
2021-08-07,3249,37
2021-08-08,2452,37
2021-08-09,3121,63
2021-08-10,3129,63
2021-08-11,3348,63
2021-08-12,3409,61
2021-08-13,3800,62
2021-08-16,3268,63
2021-08-17,3323,63
2021-08-18,3530,63
2021-08-19,3579,63
2021-08-20,4239,62
2021-08-21,2992,37
2021-08-22,2245,37
2021-08-23,3752,63
2021-08-24,3961,62
2021-08-25,3956,63
2021-08-26,4158,63
2021-08-27,3892,58
2021-08-28,2635,37
2021-08-29,1765,36
2021-08-30,3793,61
2021-08-31,4038,63
2021-09-01,4281,62
2021-09-02,4523,63
2021-09-03,4260,63
2021-09-04,3046,37
2021-09-05,2579,37
2021-09-06,1948,37
2021-09-07,3665,63
2021-09-08,4018,63
2021-09-09,3822,63
2021-09-10,4371,63
2021-09-11,2359,37
2021-09-12,1742,37
2021-09-13,4013,63
2021-09-14,4409,63
2021-09-15,4416,63
2021-09-16,4133,63
2021-09-17,4586,60
2021-09-18,3062,37
2021-09-19,2176,37
2021-09-20,3800,63
2021-09-21,4032,63
2021-09-22,3822,63
2021-09-23,4082,63
2021-09-24,4852,63
2021-09-25,2499,37
2021-09-26,1900,37
2021-09-27,3830,63
2021-09-28,4882,63
2021-09-29,5131,61
2021-09-30,4754,62
2021-10-01,5146,63
2021-10-02,2957,37
2021-10-03,2298,37
2021-10-04,3934,63
2021-10-05,4547,63
2021-10-06,4605,63
2021-10-07,4556,63
2021-10-08,4342,63
2021-10-09,2271,37
2021-10-10,2113,37
2021-10-11,2575,37
2021-10-12,4542,63
2021-10-13,5604,63
2021-10-14,4592,63
2021-10-15,4289,63
2021-10-16,2818,37
2021-10-17,1832,35
2021-10-18,4504,63
2021-10-19,4576,63
2021-10-20,5030,62
2021-10-21,4620,63
2021-10-22,5344,63
2021-10-23,3013,37
2021-10-24,2137,37
2021-10-25,4294,62
2021-10-26,4372,63
2021-10-27,5182,54
2021-10-28,4791,63
2021-10-29,4977,62
2021-10-30,2927,37
2021-10-31,1752,37
2021-11-01,4277,63
2021-11-02,5121,63
2021-11-03,4849,63
2021-11-04,5211,63
2021-11-05,4703,59
2021-11-08,4816,63
2021-11-09,4667,63
2021-11-10,4795,63
2021-11-11,4364,63
2021-11-12,5203,63
2021-11-13,2416,37
2021-11-14,1574,37
2021-11-15,4696,63
2021-11-16,5610,63
2021-11-17,4841,63
2021-11-18,5500,63
2021-11-19,4771,63
2021-11-20,2619,37
2021-11-21,1612,37
2021-11-22,4350,63
2021-11-23,4903,63
2021-11-24,5109,63
2021-11-25,5479,63
2021-11-26,4787,59
2021-12-05,1434,19
2021-12-06,4138,63
2021-12-07,5378,63
2021-12-08,5504,63
2021-12-09,5597,63
2021-12-10,4847,59
2021-12-13,4439,63
2021-12-14,4640,63
2021-12-15,4501,63
2021-12-16,4430,63
2021-12-17,4144,63
2021-12-18,2122,37
2021-12-19,1625,37
2021-12-20,3150,63
2021-12-21,3208,63
2021-12-22,3012,63
2021-12-23,2868,63
2021-12-24,1790,63
2021-12-25,956,37
2021-12-26,1299,37
2021-12-27,1556,37
2021-12-28,1744,37
2021-12-29,2031,63
2021-12-30,2146,63
2021-12-31,2025,63
2022-01-01,985,37
2022-01-02,1156,37
2022-01-03,1251,37
2022-01-04,2383,63
2022-01-05,2103,63
2022-01-06,2086,63
2022-01-07,1963,63
2022-01-08,902,37
2022-01-09,823,37
2022-01-10,2015,63
2022-01-11,1970,62
2022-01-12,2109,63
2022-01-13,2165,63
2022-01-14,2064,63
2022-01-15,870,37
2022-01-16,974,37
2022-01-17,1039,61
2022-01-18,1879,35
2022-01-19,2456,35
2022-01-20,2377,35
2022-01-21,2230,35
2022-01-22,1038,19
2022-01-23,900,19
2022-01-24,2468,35
2022-01-25,2532,35
2022-01-26,2412,35
2022-01-27,2669,35
2022-01-28,2514,35
2022-01-29,1123,19
2022-01-30,1083,19
2022-01-31,2869,35
2022-02-01,3107,35
2022-02-02,2981,35
2022-02-03,2753,35
2022-02-04,3023,35
2022-02-05,1750,19
2022-02-06,1191,19
2022-02-07,3253,35
2022-02-08,3389,35
2022-02-09,3440,35
2022-02-10,3451,35
2022-02-11,3410,35
2022-02-12,1890,19
2022-02-13,1282,19
2022-02-14,3348,35
2022-02-15,3526,35
2022-02-16,3659,35
2022-02-17,3845,35
2022-02-18,3296,35
2022-02-19,2212,19
2022-02-20,1612,19
2022-02-21,1757,19
2022-02-22,3759,35
2022-02-23,4027,35
2022-02-24,4345,35
2022-02-25,3838,35
2022-02-26,2074,19
2022-02-27,1591,19
2022-02-28,4068,35
2022-03-01,4859,35
2022-03-02,5137,35
2022-03-03,5033,35
2022-03-04,4869,35
2022-03-05,3552,19
2022-03-06,1797,19
2022-03-07,4286,35
2022-03-08,5465,35
2022-03-09,5388,35
2022-03-10,5624,35
2022-03-11,5236,35
2022-03-12,2355,19
2022-03-13,1841,19
2022-03-14,4671,35
2022-03-15,5601,35
2022-03-16,5376,35
2022-03-17,6206,36
2022-03-18,5544,35
2022-03-19,3728,19
2022-03-20,2441,19
2022-03-21,4719,35
2022-03-22,5381,35
2022-03-23,5759,35
2022-03-24,5905,35
2022-03-25,5138,35
2022-03-26,3030,19
2022-03-27,3292,19
2022-03-28,4887,35
2022-03-29,5312,35
2022-03-30,5688,35
2022-03-31,6011,35
2022-04-01,4801,35
2022-04-02,3473,37
2022-04-03,2157,37
2022-04-04,5117,41
2022-04-05,6232,41
